id,sentence,referenced_term,correct_answer,surprisal_sentence_mean,surprisal_sentence_std,surprisal_sentence_min,surprisal_sentence_max,surprisal_sentence_sum,surprisal_sentence_middle,surprisal_sentence_median,surprisal_query_mean,surprisal_query_std,surprisal_query_min,surprisal_query_max,surprisal_query_sum,surprisal_query_middle,surprisal_query_median,surprisal_phrase_mean,surprisal_phrase_std,surprisal_phrase_min,surprisal_phrase_max,surprisal_phrase_sum,surprisal_phrase_middle,surprisal_phrase_median,surprisal_context_mean,surprisal_context_std,surprisal_context_min,surprisal_context_max,surprisal_context_sum,surprisal_context_middle,surprisal_context_median,surprisal_position_sentenceMax,surprisal_position_sentenceMin,surprisal_positional_sentenceMax_in_expression,surprisal_positional_sentenceMin_in_expression,surprisal_drops_within_expression,surprisal_spikes_within_expression,surprisal_relational_sumPhrase_sumSentence,surprisal_relational_maxPhrase_maxSentence,surprisal_relational_minPhrase_minSentence,cws_sentence_mean,cws_sentence_std,cws_sentence_min,cws_sentence_max,cws_sentence_sum,cws_sentence_middle,cws_sentence_median,cws_query_mean,cws_query_std,cws_query_min,cws_query_max,cws_query_sum,cws_query_middle,cws_query_median,cws_phrase_mean,cws_phrase_std,cws_phrase_min,cws_phrase_max,cws_phrase_sum,cws_phrase_middle,cws_phrase_median,cws_context_mean,cws_context_std,cws_context_min,cws_context_max,cws_context_sum,cws_context_middle,cws_context_median,cws_position_sentenceMax,cws_position_sentenceMin,cws_positional_sentenceMax_in_expression,cws_positional_sentenceMin_in_expression,cws_drops_within_expression,cws_spikes_within_expression,cws_relational_sumPhrase_sumSentence,cws_relational_maxPhrase_maxSentence,cws_relational_minPhrase_minSentence,vanilla_entropy_sentence_mean,vanilla_entropy_sentence_std,vanilla_entropy_sentence_min,vanilla_entropy_sentence_max,vanilla_entropy_sentence_sum,vanilla_entropy_sentence_middle,vanilla_entropy_sentence_median,vanilla_entropy_query_mean,vanilla_entropy_query_std,vanilla_entropy_query_min,vanilla_entropy_query_max,vanilla_entropy_query_sum,vanilla_entropy_query_middle,vanilla_entropy_query_median,vanilla_entropy_phrase_mean,vanilla_entropy_phrase_std,vanilla_entropy_phrase_min,vanilla_entropy_phrase_max,vanilla_entropy_phrase_sum,vanilla_entropy_phrase_middle,vanilla_entropy_phrase_median,vanilla_entropy_context_mean,vanilla_entropy_context_std,vanilla_entropy_context_min,vanilla_entropy_context_max,vanilla_entropy_context_sum,vanilla_entropy_context_middle,vanilla_entropy_context_median,vanilla_entropy_position_sentenceMax,vanilla_entropy_position_sentenceMin,vanilla_entropy_positional_sentenceMax_in_expression,vanilla_entropy_positional_sentenceMin_in_expression,vanilla_entropy_drops_within_expression,vanilla_entropy_spikes_within_expression,vanilla_entropy_relational_sumPhrase_sumSentence,vanilla_entropy_relational_maxPhrase_maxSentence,vanilla_entropy_relational_minPhrase_minSentence,cis_sentence_mean,cis_sentence_std,cis_sentence_min,cis_sentence_max,cis_sentence_sum,cis_sentence_middle,cis_sentence_median,cis_query_mean,cis_query_std,cis_query_min,cis_query_max,cis_query_sum,cis_query_middle,cis_query_median,cis_phrase_mean,cis_phrase_std,cis_phrase_min,cis_phrase_max,cis_phrase_sum,cis_phrase_middle,cis_phrase_median,cis_context_mean,cis_context_std,cis_context_min,cis_context_max,cis_context_sum,cis_context_middle,cis_context_median,cis_position_sentenceMax,cis_position_sentenceMin,cis_positional_sentenceMax_in_expression,cis_positional_sentenceMin_in_expression,cis_drops_within_expression,cis_spikes_within_expression,cis_relational_sumPhrase_sumSentence,cis_relational_maxPhrase_maxSentence,cis_relational_minPhrase_minSentence
0,She is attracted to blue jacket.,blue jacket,Sailor,8.183003521846738,5.43447900671182,0.05187129660234369,16.257238601549936,57.281024652927165,12.246407167854695,8.462001451504799,6.422662882420211,7.534752170929554,6.018877032608635e-06,32.22360905696081,289.0198297089095,0.04219418149404214,4.21393219144441,9.755338518767626,6.50190008278231,3.2534384359853163,16.257238601549936,19.510677037535253,3.2534384359853163,9.755338518767626,7.327086540971778,5.3439880965748054,0.05187129660234369,12.648054673884326,29.308346163887112,0.05187129660234369,8.30421009670022,4.0,2.0,1.0,1.0,1.0,0.0,0.340613268630456,1.0,62.72136324115555,12.463936116697408,6.715347055339501,0.23601140491294856,21.571422392508182,87.24755281688185,17.59799982875542,13.831114379269412,9.907473232386199,9.582082246368577,0.052687051088439026,39.340919485140354,445.836295457379,0.20060701770749492,8.391886987899353,15.006615868839136,6.564806523669047,8.441809345170089,21.571422392508182,30.01323173767827,8.441809345170089,15.006615868839136,10.850801674983542,7.14614240649206,0.23601140491294856,17.59799982875542,43.40320669993417,0.23601140491294856,12.784597733132902,4.0,2.0,1.0,1.0,1.0,0.0,0.3440008432175865,1.0,35.768650028941614,3.7693325451442172,1.8634736225956958,0.23605918884277344,5.976719379425049,26.38532781600952,0.23605918884277344,3.606076240539551,2.0374643681327345,2.1396053775304646,1.4451025890593883e-05,9.062005043029785,91.68589656597305,0.19577805697917938,1.2954003810882568,3.56730318069458,0.0387730598449707,3.5285301208496094,3.606076240539551,7.13460636138916,3.606076240539551,3.56730318069458,4.218615293502808,2.317057880164123,0.23605918884277344,5.976719379425049,16.87446117401123,5.173913955688477,5.330841302871704,0.0,3.0,0.0,0.0,0.0,0.0,0.2704005199836925,0.6033537818344835,14.947649943844283,5.445677586964199,3.440960028264432,0.5232369899749756,10.415040016174316,38.11974310874939,7.0762739181518555,7.0762739181518555,9.169112121517008,5.30517702888071,0.5232369899749756,24.318267822265625,403.44093334674835,8.163387298583984,9.156230449676514,1.402870535850525,0.8796335458755493,0.5232369899749756,2.282504081726074,2.80574107170105,0.5232369899749756,1.402870535850525,6.846858501434326,2.9426732803912357,2.2423362731933594,10.415040016174316,27.387434005737305,7.653783798217773,7.3650288581848145,0.0,5.0,0.0,0.0,1.0,0.0,0.07360335728645205,0.2191546146900442,1.0
1,His lovely voice caught my ear.,voice,Giving attention,6.66725629682509,3.688717590971606,3.1573457095317368,13.472806324245154,46.670794077775625,3.4732011619760996,5.309441095129248,6.780401047691579,7.173587329888907,6.018877032608635e-06,32.22360905696081,318.6788492415042,12.66864205906811,4.731126781356448,7.970675303117198,0.0,7.970675303117198,7.970675303117198,7.970675303117198,7.970675303117198,7.970675303117198,7.045383522536466,4.065234850708233,3.1573457095317368,13.472806324245154,35.22691761268233,3.262404046788187,5.309441095129248,0.0,5.0,0.0,0.0,1.0,0.0,0.17078508006172516,0.5916121045081358,2.5244860830584566,11.553298258712502,3.265961312509807,8.184687847031899,16.966535117782712,80.87308781098751,8.690703155972283,9.688982278015587,10.824921365520419,8.885028513904288,0.052687051088439026,39.340919485140354,508.77130417945966,19.469910114994462,9.77284338168074,12.768304091899658,0.0,12.768304091899658,12.768304091899658,12.768304091899658,12.768304091899658,12.768304091899658,11.882816112623116,3.59031817772562,8.184687847031899,16.966535117782712,59.414080563115576,9.141143948681185,9.688982278015587,0.0,5.0,0.0,0.0,1.0,0.0,0.15788075412356076,0.752558138904692,1.5600233424332688,4.1504630872181485,2.034998573336567,1.0047050714492798,7.245920658111572,29.05324161052704,4.5830397605896,4.5830397605896,2.236930648693681,2.127326947024216,1.4451025890593883e-05,9.062005043029785,105.135740488603,0.6299214959144592,1.6142330169677734,5.119239330291748,0.0,5.119239330291748,5.119239330291748,5.119239330291748,5.119239330291748,5.119239330291748,3.8701925039291383,2.343933717817051,1.0047050714492798,7.245920658111572,19.35096251964569,2.5273430347442627,2.5962743759155273,1.0,5.0,0.0,0.0,1.0,0.0,0.17620200179097614,0.7064995011449547,5.0952657409276165,8.11578140939985,2.839117857713934,1.4468615055084229,10.443262100219727,56.81046986579895,10.06889533996582,9.086499214172363,8.186805134234222,4.8227682047375735,-0.3209357261657715,24.318267822265625,376.59303617477417,9.653877258300781,8.22524642944336,7.778404235839844,0.0,7.778404235839844,7.778404235839844,7.778404235839844,7.778404235839844,7.778404235839844,7.792634057998657,3.224082289065615,1.4468615055084229,10.443262100219727,38.963170289993286,8.74657917022705,9.086499214172363,6.0,1.0,0.0,0.0,1.0,0.0,0.13691849854814525,0.744825147659196,5.376053068124537
2,A hotel worker coming out of the lift said a couple of rooms have complained about the heat to the receptionist.,couple of rooms,Customers,5.75927251813584,4.524749872023328,0.09663976055529724,16.156306590970196,132.46326791712434,7.339648336894136,6.325098563974422,5.826391766306827,6.729022959771745,6.019108984719896e-06,32.223603553501896,355.4098977447165,1.8096533990969734,3.807004239730253,4.029591849084938,2.616516976933977,0.9421229706304264,7.339648336894136,12.088775547254816,7.339648336894136,3.807004239730253,5.806983323416982,4.718329725851126,0.09663976055529724,16.156306590970196,110.33268314492265,7.133808294735567,6.325098563974422,2.0,4.0,0.0,0.0,0.0,1.0,0.09126134163335121,0.4542899885915934,9.748813171896716,9.935492851939168,5.814722486224764,0.4381674618031416,21.41880927340557,228.51633559460086,12.291735914243162,11.553823679399681,9.531571187521772,8.593827012667301,0.052687051440114915,39.34091398175696,581.425842438828,6.16132717429391,8.57814040271168,8.11188898323435,3.8379195165103046,3.0234493767331676,12.291735914243162,24.33566694970305,12.291735914243162,9.02048165872672,9.928112861969083,6.034997773466001,0.4381674618031416,21.41880927340557,188.63414437741258,11.553823679399681,11.553823679399681,2.0,4.0,0.0,0.0,0.0,1.0,0.10649421139360343,0.5738757816712556,6.90021427947001,2.9441499515720038,1.4736573135228301,0.3377538025379181,5.976728916168213,67.71544888615608,2.7181596755981445,2.7181596755981445,2.1156763316297,1.8391840336813197,1.445088582840981e-05,9.061856269836426,129.0562562294117,1.5007716417312622,1.9000179767608643,4.085122108459473,1.0575027230229543,2.7181596755981445,5.293987274169922,12.255366325378418,2.7181596755981445,4.243219375610352,2.7716784241952395,1.4885782879256382,0.3377538025379181,5.976728916168213,52.66189005970955,2.2366645336151123,2.2366645336151123,0.0,5.0,0.0,0.0,0.0,0.0,0.1809833136598159,0.8857666707701362,8.047754474334864,6.511548410291257,4.3508106711953545,0.19507348537445068,18.035322189331055,149.7656134366989,2.9108009338378906,5.693569183349609,8.695508875449498,5.86107268291654,-0.19556474685668945,27.515544891357422,521.7305325269699,11.546574592590332,8.516983032226562,8.336697578430176,3.9748834473558565,2.9108009338378906,12.322155952453613,25.010092735290527,2.9108009338378906,9.777135848999023,6.517373957132039,4.272196533441959,0.19507348537445068,18.035322189331055,123.83010518550873,10.169681549072266,5.693569183349609,20.0,21.0,0.0,0.0,0.0,0.0,0.16699489396383693,0.6832235001458908,14.921561114523083
3,You just have to be thick-skinned to handle it.,thick-skinned,coldhearted,5.155855055616316,4.183151508675031,0.0008769814962133806,15.345726742302926,61.87026066739579,0.0008769814962133806,4.718141204210934,5.372513410812171,6.907444646272962,6.0191149423171925e-06,32.22353751221154,284.743210773045,0.08460632195964961,2.262177017640373,1.0659286324355188,0.9278214270277995,0.0008769814962133806,2.262177017640373,3.1977858973065563,0.0008769814962133806,0.9347318981699699,6.756654864358974,4.129642628368527,1.6754315961702104,15.345726742302926,54.05323891487179,15.345726742302926,6.474062579203914,4.0,6.0,0.0,0.0,0.0,0.0,0.05168534709264149,0.147414133955893,1.0,9.329911238858374,5.3188349099229075,0.054804996670437464,20.139167358483224,111.95893486630048,0.054804996670437464,9.868763255399864,8.797970751199333,8.94388750920077,0.05268705144135503,39.3408479402079,466.2924498135647,0.39777749564858994,6.145363395351117,3.340059137893516,2.678269672660054,0.054804996670437464,6.6151755897625115,10.020177413680548,0.054804996670437464,3.350196827247599,11.503312937795314,4.63946609404505,4.831075422185471,20.139167358483224,92.02650350236252,20.139167358483224,11.083571719893378,4.0,6.0,0.0,0.0,0.0,0.0,0.08949868472441685,0.3284731425093402,1.0,3.1436894179011383,1.6528300411847314,0.006089258939027786,5.976722240447998,37.72427301481366,2.012108325958252,3.2796895503997803,1.8200290226206974,1.991766244543672,1.4451370589085855e-05,9.061850547790527,96.46153819889696,0.28379175066947937,1.0157028436660767,2.2218666238089404,1.900604388549121,0.006089258939027786,4.647402286529541,6.665599871426821,2.012108325958252,2.012108325958252,3.559424042701721,1.4874165010588432,1.038099765777588,5.976722240447998,28.47539234161377,5.139379024505615,3.492768883705139,0.0,7.0,0.0,0.0,1.0,0.0,0.1766925997171465,0.7775837824749214,1.0,9.213861842950186,5.78053435644834,-3.8858530521392822,18.606582641601562,110.56634211540222,13.783209800720215,8.58097243309021,10.639962219274961,6.560461702814462,-5.164402484893799,28.76172637939453,553.278035402298,17.214582443237305,10.497291564941406,16.395392417907715,1.9894434004293389,13.783209800720215,18.606582641601562,49.186177253723145,13.783209800720215,16.796384811401367,5.9970748126506805,4.093329263794466,-3.8858530521392822,10.309416770935059,47.976598501205444,5.508437156677246,6.80773663520813,7.0,1.0,1.0,1.0,0.0,0.0,0.44485669248590765,1.0,-3.547022909971372
4,She showed off her new diamond.,diamond,jewelery,6.219349133864127,3.559665135592647,0.39753100877393654,9.810258301534697,43.53544393704889,1.764162449252414,6.469196001347581,5.767751729952259,7.251240642517577,6.018877032608635e-06,32.22360905696081,253.7810761178994,2.5887855433494353,3.4978990937913164,9.240888044112825,0.0,9.240888044112825,9.240888044112825,9.240888044112825,9.240888044112825,9.240888044112825,4.89835348825774,3.4059544604688967,0.39753100877393654,9.810258301534697,24.4917674412887,0.39753100877393654,6.050619680380074,0.0,2.0,0.0,0.0,1.0,0.0,0.21226125676988403,0.9419617465798225,23.245703706519734,10.413067672203645,5.093286155395604,1.5712386565979728,15.409506978974788,72.89147370542551,4.119663298920459,11.30938106291642,9.201546357162863,9.296618840433826,0.052687051088439026,39.340919485140354,404.868039715166,7.789978015873934,8.859478553561198,15.409506978974788,0.0,15.409506978974788,15.409506978974788,15.409506978974788,15.409506978974788,15.409506978974788,8.444706196456826,4.770256073423,1.5712386565979728,14.175815976358303,42.22353098228413,1.5712386565979728,11.047431987490974,5.0,2.0,1.0,1.0,1.0,0.0,0.2114034220414975,1.0,9.807235148057819,4.040860142026629,1.7582475151010772,1.1608800888061523,5.976719379425049,28.2860209941864,1.1608800888061523,4.918675899505615,1.8712640630297879,2.0855238633776825,1.4451025890593883e-05,9.062005043029785,82.33561877331067,1.4835951328277588,1.1176196932792664,4.918675899505615,0.0,4.918675899505615,4.918675899505615,4.918675899505615,4.918675899505615,4.918675899505615,4.298661756515503,1.7800025783321944,1.1608800888061523,5.976719379425049,21.493308782577515,3.5039427280426025,5.363997936248779,0.0,3.0,0.0,0.0,1.0,0.0,0.1738906967691407,0.822972535139969,4.23702322654528,6.802020992551531,4.141834393132887,1.6671817302703857,12.811330795288086,47.61414694786072,5.520038604736328,5.520038604736328,10.041184496567693,5.034319266110693,-0.0030522719025611877,24.318267822265625,431.7709333524108,11.820819854736328,10.468839645385742,4.894900798797607,0.0,4.894900798797607,4.894900798797607,4.894900798797607,4.894900798797607,4.894900798797607,5.981583070755005,3.923494394660725,1.6671817302703857,11.716272354125977,29.907915353775024,1.6671817302703857,5.520038604736328,6.0,2.0,0.0,0.0,1.0,0.0,0.10280349670356811,0.3820759042923095,2.936033132994893
5,The clock is ticking; we need to hurry.,clock,passage of time,5.292354828050604,3.7922938087561793,0.13598560395248435,13.489677635132445,52.92354828050603,1.697303065523068,4.937099860700144,5.503202839917947,6.850557469922689,6.018877032608635e-06,32.22360905696081,264.15373631606144,6.2328918153033674,4.050423691519898,3.2999948988288,0.0,3.2999948988288,3.2999948988288,3.2999948988288,3.2999948988288,3.2999948988288,5.933822213583174,3.979602374908641,0.13598560395248435,13.489677635132445,47.470577708665395,0.13598560395248435,5.671151817474593,0.0,6.0,0.0,0.0,1.0,0.0,0.062353999420789535,0.24463111633107607,24.267237140645225,9.522486478689407,4.504590681693866,0.531513810239377,16.582937644382163,95.22486478689406,5.607300488262436,10.35513148385865,9.148258342136891,8.627245953315223,0.052687051088439026,39.340919485140354,439.11640042257073,13.158827502771663,9.018877459364598,7.761424297876527,0.0,7.761424297876527,7.761424297876527,7.761424297876527,7.761424297876527,7.761424297876527,10.209096103967127,4.771191255989739,0.531513810239377,16.582937644382163,81.67276883173702,0.531513810239377,10.906239235363863,0.0,6.0,0.0,0.0,1.0,0.0,0.08150627795845128,0.4680367534582078,14.602488492972602,3.628502595424652,1.9973410267478966,0.5852524042129517,8.046873092651367,36.28502595424652,3.2961177825927734,3.4871604442596436,2.0446889424507995,2.150362901758133,1.4451026800088584e-05,9.062003135681152,98.14506923763838,0.19490152597427368,1.4806602001190186,8.046873092651367,0.0,8.046873092651367,8.046873092651367,8.046873092651367,8.046873092651367,8.046873092651367,3.045120045542717,1.4826996348390313,0.5852524042129517,5.976718902587891,24.360960364341736,2.0576999187469482,3.1029837131500244,1.0,7.0,1.0,1.0,1.0,0.0,0.2217684259837114,1.0,13.749406298420618,9.378565788269043,2.0876438666665407,6.183897972106934,13.103011131286621,93.78565788269043,10.30981731414795,9.085683345794678,10.155698969009075,4.652137149093562,1.9337282180786133,24.318267822265625,477.3178515434265,13.769414901733398,9.869918823242188,6.183897972106934,0.0,6.183897972106934,6.183897972106934,6.183897972106934,6.183897972106934,6.183897972106934,10.066029071807861,1.7422190695018673,7.84356689453125,13.103011131286621,80.52823257446289,13.103011131286621,9.883666038513184,6.0,1.0,0.0,0.0,1.0,0.0,0.06593649937223788,0.4719448003322973,1.0
6,The canvas tells a story of passion and creativity.,canvas,work of art,6.897493142097112,5.8514603894915815,0.36733597452323247,16.82776320223387,68.97493142097112,13.01988390894284,5.156323996819478,5.7712201600214525,7.330243680507482,6.018877032608635e-06,32.22360905696081,265.4761273609868,0.5969708696328688,2.738316101893182,12.899497826405067,0.0,12.899497826405067,12.899497826405067,12.899497826405067,12.899497826405067,12.899497826405067,6.767378004113226,5.933211996700167,0.36733597452323247,16.82776320223387,54.13902403290581,0.8290453297884247,5.156323996819478,0.0,3.0,0.0,0.0,1.0,0.0,0.18701718958843513,0.7665604555626662,35.11634776078603,10.91676267422472,6.6479712226552925,1.1771240741151776,19.921576653172615,109.16762674224721,18.446992294695136,10.3504145917942,9.223845730747144,9.246465510024509,0.052687051088439026,39.340919485140354,424.29690361436866,2.337398670076196,7.797435056731448,17.721523732725935,0.0,17.721523732725935,17.721523732725935,17.721523732725935,17.721523732725935,17.721523732725935,10.637794693682109,6.838451663158882,1.1771240741151776,19.921576653172615,85.10235754945687,3.441129775911365,10.3504145917942,0.0,3.0,0.0,0.0,1.0,0.0,0.16233314089137207,0.8895643171848896,15.054932714758108,3.4735507726669312,2.11208757742711,1.0570648908615112,8.046873092651367,34.73550772666931,2.2924797534942627,2.8355926275253296,1.9297431231157134,2.1811507027970145,1.4451025890593883e-05,9.062005043029785,88.76818366332282,1.4123296737670898,1.2710258960723877,8.046873092651367,0.0,8.046873092651367,8.046873092651367,8.046873092651367,8.046873092651367,8.046873092651367,2.762489229440689,1.5167972001972374,1.0570648908615112,5.976719379425049,22.099913835525513,3.3787055015563965,2.1266583800315857,1.0,7.0,1.0,1.0,1.0,0.0,0.2316613062337108,1.0,7.612468413451079,9.133758401870727,2.742726869766108,3.648935317993164,12.822696685791016,91.33758401870728,8.87698745727539,9.601131439208984,11.341471089257134,4.903239530495223,2.3101749420166016,24.318267822265625,510.36619901657104,10.489278793334961,11.054527282714844,7.3115081787109375,0.0,7.3115081787109375,7.3115081787109375,7.3115081787109375,7.3115081787109375,7.3115081787109375,9.639099776744843,2.8489343803526395,3.648935317993164,12.822696685791016,77.11279821395874,11.054527282714844,10.689901351928711,7.0,0.0,0.0,0.0,1.0,0.0,0.08004928373421212,0.5702005091341595,2.00373740325222
7,He sold his car for a song.,song,Pittance,5.069304159359515,3.2652846258306245,1.8000092512931758,11.791719378927587,40.55443327487612,2.89053557559269,3.165674902169381,5.885795277515986,7.054263751882013,6.018877032608635e-06,32.22360905696081,282.51817332076735,0.2348090954293725,3.165674902169381,3.1659823448552538,0.0,3.1659823448552538,3.1659823448552538,3.1659823448552538,3.1659823448552538,3.1659823448552538,4.856667143731238,3.4471193911223907,1.8000092512931758,11.791719378927587,29.140002862387433,2.8610986914259056,3.027951517538099,0.0,1.0,0.0,0.0,1.0,0.0,0.07806747842822431,0.26849200215135954,1.7588700405738058,9.726604707592365,3.497399366357165,5.224878796629335,16.213928330201142,77.81283766073892,7.932593077374183,8.321996241305303,9.576663631737864,8.86129012144449,0.052687051088439026,39.340919485140354,459.6798543234175,1.066475453636063,7.831576738275139,8.711399405236424,0.0,8.711399405236424,8.711399405236424,8.711399405236424,8.711399405236424,8.711399405236424,9.25097387482304,3.6628163742401094,5.224878796629335,16.213928330201142,55.50584324893825,7.595295925887166,7.763944501630675,0.0,1.0,0.0,0.0,1.0,0.0,0.11195324148462239,0.5372787659983664,1.667292150557886,3.824172019958496,1.4949063913225955,1.5695774555206299,5.976718902587891,30.59337615966797,2.8215713500976562,3.6918089389801025,2.1345771458742697,2.170357634267453,1.4451026800088584e-05,9.062003135681152,102.45970300196495,0.5642777681350708,1.3753446340560913,4.056275844573975,0.0,4.056275844573975,4.056275844573975,4.056275844573975,4.056275844573975,4.056275844573975,4.161253809928894,1.4176945672678918,2.2451298236846924,5.976718902587891,24.967522859573364,5.21054220199585,4.26894211769104,0.0,7.0,0.0,0.0,1.0,0.0,0.1325867345730043,0.6786793741993833,2.584310720255921,7.848101198673248,2.036063129326421,3.585944652557373,10.23243522644043,62.784809589385986,3.585944652557373,8.143337965011597,9.71858426548065,5.264594394232549,0.16963884234428406,24.318267822265625,456.77346047759056,3.3469185829162598,9.408422470092773,8.649810791015625,0.0,8.649810791015625,8.649810791015625,8.649810791015625,8.649810791015625,8.649810791015625,7.749688943227132,2.324469679924548,3.585944652557373,10.23243522644043,46.49813365936279,6.850715637207031,8.00251817703247,5.0,4.0,0.0,0.0,1.0,0.0,0.13776916498728872,0.8453325723152069,2.4121428602772426
8,The new blood in the IT department shows enthusiasm.,new blood,New Employee,7.601524349645405,3.8496167476037644,0.6995511716631538,12.673162072248791,76.01524349645405,1.307989503382397,9.333752570299815,6.583258050423653,7.441797409746146,6.018877032608635e-06,32.22360905696081,315.99638642033534,0.0004080350225494632,4.000023281408796,11.434907707668124,1.2382543645806674,10.196653343087457,12.673162072248791,22.869815415336248,10.196653343087457,11.434907707668124,7.492268129922092,3.1171987230284777,1.307989503382397,11.05803478425354,52.44587690945464,11.05803478425354,9.024081159612091,1.0,3.0,1.0,1.0,1.0,0.0,0.30085828004225335,1.0,14.575993517165209,11.934485093497528,4.718263386308283,1.9494879462228596,16.619253593398998,119.34485093497528,4.475068248000275,13.203165417649052,10.142363989325943,9.4312696259829,0.052687051088439026,39.340919485140354,486.8334714876453,0.05342930410012077,8.774579848787694,16.156776128334513,0.10304434626155334,16.053731782072962,16.25982047459607,32.31355225666903,16.053731782072962,16.156776128334513,12.154544390297628,3.5234768481391896,4.475068248000275,16.619253593398998,85.0818107320834,16.619253593398998,12.758681713975825,6.0,3.0,0.0,0.0,1.0,0.0,0.2707578249377091,0.9783724872610589,8.23484536704991,4.286362302303314,2.181497196107598,1.5515538454055786,8.046873092651367,42.86362302303314,6.2085065841674805,3.1420297622680664,2.3163270955231687,2.4271488227168656,1.4451026800088584e-05,9.062003135681152,111.18370058511209,0.0033125486224889755,1.2515433430671692,7.55300760269165,0.4938654899597168,7.059142112731934,8.046873092651367,15.1060152053833,7.059142112731934,7.55300760269165,3.6070257425308228,1.6633877659735081,1.5515538454055786,6.2085065841674805,25.24918019771576,2.1938886642456055,3.1055591106414795,1.0,9.0,1.0,1.0,1.0,0.0,0.35242040079687037,1.0,4.549724222356371,6.0220685482025145,4.518482809677301,-0.5574302673339844,13.819635391235352,60.22068548202515,4.2950334548950195,6.284648895263672,9.23057274615511,5.612689724829378,-5.131945610046387,24.318267822265625,433.83691906929016,11.61746883392334,9.62198543548584,0.6751108169555664,1.2325410842895508,-0.5574302673339844,1.9076519012451172,1.3502216339111328,1.9076519012451172,0.6751108169555664,6.7737089565822055,3.972810679846215,-0.07630157470703125,13.819635391235352,47.41596269607544,6.197600841522217,6.371696949005127,9.0,1.0,0.0,0.0,0.0,0.0,0.022421226578600656,0.13803923527931733,1.0
9,The kettle is boiling.,kettle,water,7.363748174506565,5.9900660226925995,1.432619732942492,18.032730120288395,36.81874087253283,3.88697320566279,3.88697320566279,5.812642951679528,7.396815409775381,6.018826307259524e-06,32.22362556730594,238.31836101886066,2.841677646484745,3.7738279993354085,1.432619732942492,0.0,1.432619732942492,1.432619732942492,1.432619732942492,1.432619732942492,1.432619732942492,10.499715977975848,5.849083227697165,3.7738279993354085,18.032730120288395,31.499147933927546,3.7738279993354085,9.69258981430374,0.0,1.0,0.0,0.0,1.0,0.0,0.03891006859529087,0.07944552618411727,1.0,11.58232939622437,5.780241009123889,4.260806387967874,21.12657618132987,57.911646981121855,8.737671139188368,9.240646742889032,9.34817516472183,9.310527986552222,0.052687051018899984,39.34093599543007,383.275181753595,8.56082675560205,8.737671139188368,4.260806387967874,0.0,4.260806387967874,4.260806387967874,4.260806387967874,4.260806387967874,4.260806387967874,14.971056484655204,4.861712216165574,9.240646742889032,21.12657618132987,44.913169453965615,9.240646742889032,14.545946529746711,0.0,1.0,0.0,0.0,1.0,0.0,0.07357425682189318,0.20167992917533248,1.0,4.642750930786133,2.0893561239741323,2.2680251598358154,8.046875,23.213754653930664,3.343952178955078,3.578181505203247,2.022529351854179,2.2599817848371933,1.4451131391979288e-05,9.061981201171875,82.92370342602135,0.8253135085105896,1.1283972263336182,8.046875,0.0,8.046875,8.046875,8.046875,8.046875,8.046875,3.940975824991862,1.535647669035694,2.2680251598358154,5.976720809936523,11.822927474975586,3.578181505203247,3.578181505203247,1.0,4.0,1.0,1.0,1.0,0.0,0.3466425453341071,1.0,3.5479654910805847,6.393287086486817,2.929314042865718,3.7408876419067383,11.630517959594727,31.966435432434082,5.072977066040039,5.072977066040039,9.937513253325596,5.614684055018728,-1.7752761840820312,24.318267822265625,397.50053013302386,15.613801956176758,10.868628025054932,7.478272438049316,0.0,7.478272438049316,7.478272438049316,7.478272438049316,7.478272438049316,7.478272438049316,6.471728642781575,3.6499101729673784,3.7408876419067383,11.630517959594727,19.415185928344727,11.630517959594727,4.043780326843262,3.0,4.0,0.0,0.0,1.0,0.0,0.23394139311703308,0.6429870504503225,1.999063632458532
