id,sentence,referenced_term,correct_answer,surprisal_sentence_mean,surprisal_sentence_std,surprisal_sentence_min,surprisal_sentence_max,surprisal_sentence_sum,surprisal_sentence_middle,surprisal_sentence_median,surprisal_query_mean,surprisal_query_std,surprisal_query_min,surprisal_query_max,surprisal_query_sum,surprisal_query_middle,surprisal_query_median,surprisal_phrase_mean,surprisal_phrase_std,surprisal_phrase_min,surprisal_phrase_max,surprisal_phrase_sum,surprisal_phrase_middle,surprisal_phrase_median,surprisal_context_mean,surprisal_context_std,surprisal_context_min,surprisal_context_max,surprisal_context_sum,surprisal_context_middle,surprisal_context_median,surprisal_position_sentenceMax,surprisal_position_sentenceMin,surprisal_positional_sentenceMax_in_expression,surprisal_positional_sentenceMin_in_expression,surprisal_drops_within_expression,surprisal_spikes_within_expression,surprisal_relational_sumPhrase_sumSentence,surprisal_relational_maxPhrase_maxSentence,surprisal_relational_minPhrase_minSentence,cws_sentence_mean,cws_sentence_std,cws_sentence_min,cws_sentence_max,cws_sentence_sum,cws_sentence_middle,cws_sentence_median,cws_query_mean,cws_query_std,cws_query_min,cws_query_max,cws_query_sum,cws_query_middle,cws_query_median,cws_phrase_mean,cws_phrase_std,cws_phrase_min,cws_phrase_max,cws_phrase_sum,cws_phrase_middle,cws_phrase_median,cws_context_mean,cws_context_std,cws_context_min,cws_context_max,cws_context_sum,cws_context_middle,cws_context_median,cws_position_sentenceMax,cws_position_sentenceMin,cws_positional_sentenceMax_in_expression,cws_positional_sentenceMin_in_expression,cws_drops_within_expression,cws_spikes_within_expression,cws_relational_sumPhrase_sumSentence,cws_relational_maxPhrase_maxSentence,cws_relational_minPhrase_minSentence,vanilla_entropy_sentence_mean,vanilla_entropy_sentence_std,vanilla_entropy_sentence_min,vanilla_entropy_sentence_max,vanilla_entropy_sentence_sum,vanilla_entropy_sentence_middle,vanilla_entropy_sentence_median,vanilla_entropy_query_mean,vanilla_entropy_query_std,vanilla_entropy_query_min,vanilla_entropy_query_max,vanilla_entropy_query_sum,vanilla_entropy_query_middle,vanilla_entropy_query_median,vanilla_entropy_phrase_mean,vanilla_entropy_phrase_std,vanilla_entropy_phrase_min,vanilla_entropy_phrase_max,vanilla_entropy_phrase_sum,vanilla_entropy_phrase_middle,vanilla_entropy_phrase_median,vanilla_entropy_context_mean,vanilla_entropy_context_std,vanilla_entropy_context_min,vanilla_entropy_context_max,vanilla_entropy_context_sum,vanilla_entropy_context_middle,vanilla_entropy_context_median,vanilla_entropy_position_sentenceMax,vanilla_entropy_position_sentenceMin,vanilla_entropy_positional_sentenceMax_in_expression,vanilla_entropy_positional_sentenceMin_in_expression,vanilla_entropy_drops_within_expression,vanilla_entropy_spikes_within_expression,vanilla_entropy_relational_sumPhrase_sumSentence,vanilla_entropy_relational_maxPhrase_maxSentence,vanilla_entropy_relational_minPhrase_minSentence,cis_sentence_mean,cis_sentence_std,cis_sentence_min,cis_sentence_max,cis_sentence_sum,cis_sentence_middle,cis_sentence_median,cis_query_mean,cis_query_std,cis_query_min,cis_query_max,cis_query_sum,cis_query_middle,cis_query_median,cis_phrase_mean,cis_phrase_std,cis_phrase_min,cis_phrase_max,cis_phrase_sum,cis_phrase_middle,cis_phrase_median,cis_context_mean,cis_context_std,cis_context_min,cis_context_max,cis_context_sum,cis_context_middle,cis_context_median,cis_position_sentenceMax,cis_position_sentenceMin,cis_positional_sentenceMax_in_expression,cis_positional_sentenceMin_in_expression,cis_drops_within_expression,cis_spikes_within_expression,cis_relational_sumPhrase_sumSentence,cis_relational_maxPhrase_maxSentence,cis_relational_minPhrase_minSentence
0,She is attracted to blue jacket.,blue jacket,Sailor,7.500119235021259,5.879390410012559,0.07322986420754944,16.20441211325482,52.500834645148814,13.026296466473564,4.3372174416382645,5.7165964883310565,7.099262914968512,1.5399648538273932e-06,32.10621488398144,257.24684197489756,0.040305650692850754,2.905747897804301,9.226236965925821,6.978175147328996,2.248061818596825,16.20441211325482,18.452473931851642,2.248061818596825,9.226236965925821,7.576118510108937,5.578741186810468,0.07322986420754944,13.026296466473564,30.30447404043575,0.07322986420754944,8.602473854877319,4.0,2.0,1.0,1.0,1.0,0.0,0.3514701062672856,1.0,30.698702543341145,11.547051979109796,7.072223995110694,0.30525705947277243,21.42488478942467,80.82936385376857,18.37365418973404,8.69547492642354,8.881982623908424,9.21792000081502,0.05268087391879779,39.223105367381386,399.68921807587907,0.1754858934559338,6.488728392974219,13.956806591199445,7.468078198225226,6.488728392974219,21.42488478942467,27.91361318239889,6.488728392974219,13.956806591199445,11.193442581637724,7.329078657477561,0.30525705947277243,18.37365418973404,44.773770326550896,0.30525705947277243,13.047429538672043,4.0,2.0,1.0,1.0,1.0,0.0,0.345340008278408,1.0,21.25660387406367,3.569150584084647,1.5202234959118484,0.3405427932739258,5.168581962585449,24.98405408859253,0.3405427932739258,3.7926483154296875,2.0552859004573594,1.986672701767377,1.2144453648943454e-05,7.003759384155273,92.48786552058118,0.2242414653301239,1.2460814714431763,3.6650097370147705,0.127638578414917,3.5373711585998535,3.7926483154296875,7.330019474029541,3.7926483154296875,3.6650097370147705,3.718929409980774,1.9628705121761003,0.3405427932739258,5.168581962585449,14.875717639923096,5.168581962585449,4.68329644203186,2.0,3.0,0.0,0.0,0.0,0.0,0.2933879124675909,0.7337889469266563,10.387449766862233,5.45039199079786,3.066582320555879,0.10694324970245361,9.423120498657227,38.15274393558502,6.1450958251953125,6.1450958251953125,9.53547351197763,6.58732681622343,0.10694324970245361,33.44007110595703,419.5608345270157,7.82108211517334,8.205804824829102,2.728217661380768,2.621274411678314,0.10694324970245361,5.349492073059082,5.456435322761536,0.10694324970245361,2.728217661380768,6.252937436103821,2.724749816724963,1.9880523681640625,9.423120498657227,25.011749744415283,7.455481052398682,6.800288438796997,0.0,5.0,0.0,0.0,1.0,0.0,0.14301554121438495,0.5676985743545753,1.0
1,His lovely voice caught my ear.,voice,Giving attention,6.975963445716925,4.722098836643193,1.9857484152120994,15.542510167476678,48.83174412001847,1.9857484152120994,4.979692035838402,6.622859837560331,6.887677830175622,1.5399648538273932e-06,32.10621488398144,311.27441236533554,11.199243020169083,3.705293857914297,8.723115769682783,0.0,8.723115769682783,8.723115769682783,8.723115769682783,8.723115769682783,8.723115769682783,7.624575987024718,5.020542670342811,2.489936966122109,15.542510167476678,38.12287993512359,3.68457886067514,4.979692035838402,0.0,3.0,0.0,0.0,1.0,0.0,0.1786361705255324,0.5612424039416909,4.3928604967568665,11.602657958064778,4.567324301951095,6.027732212464163,19.403979332951806,81.21860570645345,6.027732212464163,9.791433872659459,10.396790759473173,8.802402450170234,0.05268087391879779,39.223105367381386,488.64916569523916,18.073014605852222,9.321411308752513,13.249821283871642,0.0,13.249821283871642,13.249821283871642,13.249821283871642,13.249821283871642,13.249821283871642,12.38821044202353,4.672146216424287,6.808064714536506,19.403979332951806,61.94105221011765,9.700123450132793,9.791433872659459,0.0,3.0,0.0,0.0,1.0,0.0,0.16313775850523915,0.6828404141500407,2.198143649526039,3.940118874822344,1.669022911079064,1.1038755178451538,6.5105438232421875,27.58083212375641,5.14693546295166,4.548303127288818,2.302471994639068,2.04718011691095,1.2144453648943454e-05,7.003759384155273,108.2161837480362,0.480230450630188,1.859903335571289,4.6060686111450195,0.0,4.6060686111450195,4.6060686111450195,4.6060686111450195,4.6060686111450195,4.6060686111450195,3.5655656099319457,1.8383751670459012,1.1038755178451538,6.5105438232421875,17.82782804965973,2.5826399326324463,3.082465648651123,1.0,5.0,0.0,0.0,1.0,0.0,0.16700252517681072,0.7074783207359231,4.17263408480732,6.517552988869803,3.2971231998407298,-0.9051270484924316,10.731542587280273,45.62287092208862,8.007347106933594,7.17267370223999,8.64299726486206,6.811106670174432,-2.535633087158203,33.44007110595703,397.5778741836548,8.298495292663574,7.09247088432312,6.598453044891357,0.0,6.598453044891357,6.598453044891357,6.598453044891357,6.598453044891357,6.598453044891357,6.2034141540527346,3.830866805137264,-0.9051270484924316,10.731542587280273,31.017070770263672,6.779833793640137,7.17267370223999,6.0,1.0,0.0,0.0,1.0,0.0,0.14463037751744534,0.614865289982847,-7.29008491778216
2,A hotel worker coming out of the lift said a couple of rooms have complained about the heat to the receptionist.,couple of rooms,Customers,5.744567254616177,4.00125409441332,0.6064725414521989,15.457304746047626,132.12504685617208,7.689578201699112,5.313202439400542,5.572071706155544,6.203388974653398,1.539981301517991e-06,32.10604152550045,339.89637407548815,0.737006066984295,3.805494873980471,5.013810719881736,1.9558253651016848,3.0692305346129114,7.689578201699112,15.041432159645208,7.689578201699112,4.282623423333184,5.548019633307566,4.099380939768322,0.6064725414521989,15.457304746047626,105.41237303284376,8.04279228245975,5.313202439400542,2.0,18.0,0.0,0.0,0.0,1.0,0.11384239792186354,0.49747212260050105,5.060790596163904,10.153380851750258,4.989734532824135,2.027285674993377,20.847841141907487,233.52775959025593,12.306318426564015,10.819253188089293,9.26903050821542,8.06043932074554,0.0526808739243137,39.22293200873408,565.4108610011406,2.7561232839634484,8.909831365436771,9.679949091464351,2.0896831930645483,7.193392420754063,12.306318426564015,29.039847274393058,12.306318426564015,9.540136427074978,9.873304750781049,5.190716113388028,2.027285674993377,20.847841141907487,187.59279026483992,12.712361617487431,10.819253188089293,2.0,18.0,0.0,0.0,0.0,1.0,0.12435287061951825,0.5902922198417155,3.548287500614615,3.305009416911913,1.1643992658531883,1.6872721910476685,5.1251726150512695,76.015216588974,4.302149772644043,3.153331995010376,2.2593711089950346,1.7555093189280682,1.2144765605626162e-05,7.003753662109375,137.8216376486971,1.7187249660491943,2.1125898361206055,4.691692034403483,0.2779308508098809,4.302149772644043,4.93186092376709,14.07507610321045,4.302149772644043,4.841065406799316,3.1024903498197856,1.1310652158072096,1.6872721910476685,5.1251726150512695,58.94731664657593,2.8663251399993896,3.0146327018737793,1.0,15.0,0.0,0.0,0.0,0.0,0.18516129710340176,0.962281915985332,2.549766300582915,5.712486075318378,3.3433027168542386,0.6533365249633789,12.818724632263184,131.3871797323227,7.400115966796875,6.860785961151123,8.882256450255712,6.522793086600002,-0.619121789932251,33.44007110595703,532.9353870153427,9.209199905395508,8.079967021942139,8.094409306844076,0.922805009475509,7.400115966796875,9.398541450500488,24.283227920532227,7.400115966796875,7.484570503234863,5.602663962464583,3.337876310305463,0.727392315864563,12.818724632263184,106.45061528682709,9.106180191040039,4.898168563842773,20.0,13.0,0.0,0.0,0.0,0.0,0.18482189792036677,0.7331884973053788,11.326652780068693
3,You just have to be thick-skinned to handle it.,thick-skinned,coldhearted,4.942794127859547,4.031282977374743,0.0034307346771656785,15.816841848520408,59.31352953431457,0.0034307346771656785,4.586625578598163,4.830615378474262,6.247036538628386,1.5399971139684353e-06,32.106198373672534,256.02261505913583,0.03556196948162098,2.2604428295845302,1.1096768237183445,0.7867263441050678,0.0034307346771656785,1.7656210899016354,3.329030471155034,0.0034307346771656785,1.5599786465762329,6.247891425455396,4.097757312377546,2.167165562258914,15.816841848520408,49.98313140364317,15.816841848520408,5.786485482410817,4.0,6.0,0.0,0.0,0.0,0.0,0.056125988409256526,0.11162918026311308,1.0,9.208750464393113,5.021801144209545,0.06380189775361046,20.470295420154393,110.50500557271735,0.06380189775361046,9.064795567266097,8.181962513421562,8.19309027112494,0.052680873939966094,39.223088856936904,433.6440132113428,0.18061334351101255,6.271015395641086,3.6440811198710277,2.531650218665827,0.06380189775361046,5.4431517589682015,10.932243359613084,0.06380189775361046,5.425289702891272,11.029041739512927,4.464382859939292,6.316284910505858,20.470295420154393,88.23233391610341,20.470295420154393,10.791587639361339,4.0,6.0,0.0,0.0,0.0,0.0,0.09892984759336687,0.26590489522730826,1.0,3.138415965406845,1.5025893428793022,0.01817396841943264,5.4161577224731445,37.66099158488214,1.6756912469863892,3.4899412393569946,1.994484322358077,1.9188478353153318,1.2144707397965249e-05,7.003753185272217,105.70766908497808,0.15925540030002594,1.5348716974258423,2.206830791508158,2.0387594419380677,0.01817396841943264,4.926627159118652,6.620492374524474,1.6756912469863892,1.6756912469863892,3.5351535975933075,1.1520181464172943,1.239654541015625,5.4161577224731445,28.28122878074646,5.4161577224731445,3.655359625816345,4.0,7.0,0.0,0.0,1.0,0.0,0.17579177010257133,0.9096166344411845,1.0,9.080550193786621,5.291744499345103,-2.3378968238830566,16.990419387817383,108.96660232543945,16.990419387817383,9.090932369232178,10.685835723693554,6.857280933811712,-2.993903160095215,33.44007110595703,555.6634576320648,15.313344955444336,9.303306102752686,16.31451638539632,0.5728675367755598,15.589741706848145,16.990419387817383,48.943549156188965,16.990419387817383,16.363388061523438,6.289201855659485,3.7968223768311686,-2.3378968238830566,9.898563385009766,50.31361484527588,3.255624771118164,7.321881532669067,6.0,1.0,1.0,1.0,0.0,1.0,0.44916100999473446,1.0,-6.668276182074986
4,She showed off her new diamond.,diamond,jewelery,5.633479182589398,3.9724274757394626,0.46504520209722444,11.650587049010236,39.43435427812579,1.4845936007629033,6.310034931351699,5.552012157308464,6.8348130500089885,1.5399648538273932e-06,32.10621488398144,244.28853492157242,0.6561541980854433,3.105716033189639,8.739820913817727,0.0,8.739820913817727,8.739820913817727,8.739820913817727,8.739820913817727,8.739820913817727,5.694610828210736,4.222593333152363,0.46504520209722444,11.650587049010236,28.47305414105368,0.46504520209722444,6.310034931351699,0.0,2.0,0.0,0.0,1.0,0.0,0.22162961899101516,0.7501614190814712,18.793486900635823,9.562604470669253,5.3189770714085265,1.7180259705542182,16.35613457836973,66.93823129468478,3.642466130838339,11.488112589259316,8.956463306367398,8.872692735353995,0.05268087391879779,39.223105367381386,394.0843854801655,2.6228858241884385,8.267211647599758,14.832320390004167,0.0,14.832320390004167,14.832320390004167,14.832320390004167,14.832320390004167,14.832320390004167,9.221000300267617,5.6035983962788976,1.7180259705542182,16.35613457836973,46.10500150133809,1.7180259705542182,11.488112589259316,0.0,2.0,0.0,0.0,1.0,0.0,0.22158219754428923,0.9068353111754938,8.633350510539376,3.8521596363612582,1.4244234829758942,1.4924976825714111,5.521481037139893,26.96511745452881,1.4924976825714111,4.548303127288818,1.9137478734522284,1.9549596706508554,1.2144453648943454e-05,7.003759384155273,84.20490643189805,1.3348757028579712,1.2385128140449524,5.521481037139893,0.0,5.521481037139893,5.521481037139893,5.521481037139893,5.521481037139893,5.521481037139893,3.8855800151824953,1.267927974790076,1.4924976825714111,4.869251728057861,19.427900075912476,3.6995577812194824,4.548303127288818,5.0,3.0,1.0,1.0,1.0,0.0,0.20476384152417465,1.0,3.6994905262613083,7.603537116731916,5.703531792869618,2.1182734966278076,18.881227493286133,53.22475981712341,4.511538028717041,4.511538028717041,10.76077098070189,6.83955419839843,-3.4533443450927734,33.44007110595703,462.7131521701813,12.90381908416748,9.654195785522461,3.9996604919433594,0.0,3.9996604919433594,3.9996604919433594,3.9996604919433594,3.9996604919433594,3.9996604919433594,6.0687743663787845,3.892562496105697,2.1182734966278076,11.126399040222168,30.34387183189392,2.1182734966278076,4.511538028717041,6.0,2.0,0.0,0.0,1.0,0.0,0.07514661420147156,0.21183265194837442,1.8881700112429447
5,The clock is ticking; we need to hurry.,clock,passage of time,4.530230110598479,4.05416009023605,0.04335226061132325,14.560724809941615,45.302301105984796,1.3194405652742915,3.487572524581984,5.075976703346693,6.248547645663068,1.5399520631723955e-06,32.106179111616505,243.64688176064126,1.778193408716153,3.371485910772309,1.8320139097764714,0.0,1.8320139097764714,1.8320139097764714,1.8320139097764714,1.8320139097764714,1.8320139097764714,5.2893046199414,4.199490702556239,0.04335226061132325,14.560724809941615,42.3144369595312,0.04335226061132325,4.837731145718562,0.0,6.0,0.0,0.0,1.0,0.0,0.040439753942972397,0.12581886778916587,42.25878613808583,8.419703307578777,4.984974568251477,0.19021344949238259,18.293238639632612,84.19703307578776,4.726587646579763,8.30163903851592,8.694247565623773,8.106634679758907,0.052680873911484606,39.223069594874346,417.32388314994114,6.1954812810996325,8.010177067519749,5.256628734264895,0.0,5.256628734264895,5.256628734264895,5.256628734264895,5.256628734264895,5.256628734264895,9.411737331177692,5.097035979328733,0.19021344949238259,18.293238639632612,75.29389864942154,0.19021344949238259,10.259366391429738,0.0,6.0,0.0,0.0,1.0,0.0,0.0624324699129633,0.28735364129981444,27.63542088266164,3.189952778816223,1.669242456460029,0.2298640012741089,6.768166542053223,31.89952778816223,3.2652053833007812,3.088406562805176,1.9691253515903402,1.8803143427626574,1.2144719221396372e-05,7.003759384155273,94.51801687633633,1.2800872325897217,1.4089674949645996,6.768166542053223,0.0,6.768166542053223,6.768166542053223,6.768166542053223,6.768166542053223,6.768166542053223,2.7143868803977966,1.2845022816847995,0.2298640012741089,4.548297882080078,21.715095043182373,1.758363127708435,2.7623790502548218,1.0,7.0,1.0,1.0,1.0,0.0,0.21217137090552352,1.0,29.444221385419546,8.746976327896117,2.51169446809992,5.14562463760376,13.505078315734863,87.46976327896118,8.982122421264648,8.294001340866089,10.169182040589922,6.111364867612115,0.6525313258171082,33.44007110595703,477.9515559077263,10.037101745605469,8.982122421264648,7.605880260467529,0.0,7.605880260467529,7.605880260467529,7.605880260467529,7.605880260467529,7.605880260467529,9.339782297611237,2.397991488640174,6.445289611816406,13.505078315734863,74.71825838088989,11.078742027282715,9.727118968963623,9.0,2.0,0.0,0.0,1.0,0.0,0.08695439401397062,0.5631866830128534,1.4781257468499438
6,The canvas tells a story of passion and creativity.,canvas,work of art,5.910721730587967,5.872137802734255,0.31552317820179626,17.80717934685174,59.107217305879665,10.47083689879473,2.9085289615332215,4.819277216574934,6.581929068377557,1.5399648538273932e-06,32.10621488398144,221.68675196244695,1.1770953714939152,1.6613835222730189,13.996927174051153,0.0,13.996927174051153,13.996927174051153,13.996927174051153,13.996927174051153,13.996927174051153,5.524557665099095,5.626626264199566,0.31552317820179626,17.80717934685174,44.19646132079276,1.3679335244959727,2.9085289615332215,0.0,3.0,0.0,0.0,1.0,0.0,0.23680572038465453,0.786027191697026,44.36101098442685,9.840002287545843,6.70164723288915,1.0770715354694906,21.53995115888812,98.40002287545843,16.41776633180268,7.251524338460621,8.012222189876006,8.530394962743147,0.05268087391879779,39.223105367381386,368.5622207342963,3.122105477597894,5.263974640422785,19.31599095189862,0.0,19.31599095189862,19.31599095189862,19.31599095189862,19.31599095189862,19.31599095189862,9.412407737958254,6.336381662353275,1.0770715354694906,21.53995115888812,75.29926190366604,5.179226914629783,7.251524338460621,0.0,3.0,0.0,0.0,1.0,0.0,0.19630067542104349,0.8967518454157768,17.933805059177306,3.0357684552669526,1.7785810926304217,0.9928863644599915,6.768174171447754,30.357684552669525,2.56070876121521,2.445337414741516,1.8799139831768985,1.8956827660402882,1.2144453648943454e-05,7.003759384155273,86.47604322613734,4.095588684082031,1.194571614265442,6.768174171447754,0.0,6.768174171447754,6.768174171447754,6.768174171447754,6.768174171447754,6.768174171447754,2.4993402883410454,1.373322169029955,0.9928863644599915,4.816198348999023,19.994722306728363,2.3299660682678223,2.290892243385315,1.0,3.0,1.0,1.0,1.0,0.0,0.22294764146801802,1.0,6.816665445021809,9.148335456848145,2.041290998495762,5.531983375549316,12.145278930664062,91.48335456848145,10.290699005126953,9.705853939056396,11.785770236121284,5.806850306233222,4.1751909255981445,33.44007110595703,530.3596606254578,10.159063339233398,10.159063339233398,6.218976974487305,0.0,6.218976974487305,6.218976974487305,6.218976974487305,6.218976974487305,6.218976974487305,9.640496253967285,1.9408069083745179,5.531983375549316,12.145278930664062,77.12397003173828,9.570852279663086,10.06577730178833,9.0,0.0,0.0,0.0,1.0,0.0,0.06797932808456408,0.5120489212302737,1.1241857670748643
7,He sold his car for a song.,song,Pittance,5.047960184996767,4.050877571665022,1.4000393804007802,12.004253501657713,40.383681479974136,2.9761494530820434,2.957142902052348,5.207861224194385,6.328464491616847,1.5399520631723955e-06,32.106179111616505,249.9773387613305,0.7060109499344456,2.957142902052348,2.5265694170619795,0.0,2.5265694170619795,2.5265694170619795,2.5265694170619795,2.5265694170619795,2.5265694170619795,5.704916253220152,4.477955858160619,1.4000393804007802,12.004253501657713,34.229497519320915,2.935012793964114,2.957142902052348,0.0,1.0,0.0,0.0,1.0,0.0,0.0625641180909888,0.21047284753800607,1.8046416782495895,9.533140819798263,4.31296350991171,4.50686392156108,16.831114000075075,76.2651265583861,8.267034970904003,7.940266409696729,8.917370391217156,8.04156448502824,0.052680873911484606,39.223069594874346,428.03377877842354,3.008968203986619,7.870610640328959,6.955554816067298,0.0,6.955554816067298,6.955554816067298,6.955554816067298,6.955554816067298,6.955554816067298,10.191237034901643,4.790461415098461,4.50686392156108,16.831114000075075,61.14742220940987,7.71838328648453,7.992709128694266,5.0,1.0,0.0,0.0,1.0,0.0,0.09120229821873241,0.4132557604943008,1.543324790169845,3.524014428257942,1.0271011676163626,1.8565171957015991,4.870046138763428,28.192115426063538,2.819613456726074,3.4555898904800415,2.173708499557885,1.981034127834085,1.2144719221396372e-05,7.01352596282959,104.33800797877848,0.9669598937034607,1.7293661236763,4.519858360290527,0.0,4.519858360290527,4.519858360290527,4.519858360290527,4.519858360290527,4.519858360290527,3.458074907461802,1.0848542910833665,1.8565171957015991,4.870046138763428,20.748449444770813,3.9873721599578857,3.40349280834198,1.0,5.0,0.0,0.0,1.0,0.0,0.16032349087617348,0.9280935398772592,2.4345900866177654,7.760103136301041,2.012167064494223,3.188328981399536,10.179224014282227,62.080825090408325,3.188328981399536,8.293938636779785,9.752244860567945,6.35439103212502,-0.9997516870498657,33.44007110595703,458.3555084466934,2.3599536418914795,8.856435775756836,8.463704109191895,0.0,8.463704109191895,8.463704109191895,8.463704109191895,8.463704109191895,8.463704109191895,7.414571166038513,2.209952597032668,3.188328981399536,10.179224014282227,44.48742699623108,7.769075393676758,7.946624279022217,1.0,4.0,0.0,0.0,1.0,0.0,0.1363336279256308,0.8314684987103804,2.6545893345914076
8,The new blood in the IT department shows enthusiasm.,new blood,New Employee,6.557974201298613,3.869916689718128,0.6107607724351763,12.446370426396104,65.57974201298613,0.9765584234525013,6.970577954125593,6.085446996299596,7.04595896785277,1.5399520631723955e-06,32.106179111616505,292.1014558223806,0.09048158633878998,3.335042419045326,9.668988067519333,2.777382358876772,6.89160570864256,12.446370426396104,19.337976135038666,6.89160570864256,9.668988067519333,6.518715015073185,3.3721103018050664,0.9765584234525013,10.410843620950617,45.631005105512294,10.410843620950617,7.049550199608626,1.0,3.0,1.0,1.0,1.0,0.0,0.2948772828537409,1.0,11.283641680465008,10.672507964319852,4.822103592252551,1.855279679964704,16.414181155311535,106.72507964319853,3.4313054453413243,12.278927933201288,9.51360499357651,9.011509503043229,0.052680873911484606,39.223069594874346,456.6530396916725,0.4193716393723284,7.33558182874501,14.248168955622065,2.1660121996894706,12.082156755932594,16.414181155311535,28.49633791124413,12.082156755932594,14.248168955622065,10.91049457885567,4.130598915013618,3.4313054453413243,15.84558248315744,76.37346205198969,15.84558248315744,12.354039050758875,1.0,3.0,1.0,1.0,1.0,0.0,0.267006949130538,1.0,6.512310185040378,4.092302560806274,1.7482434124814785,1.6912639141082764,6.768166542053223,40.923025608062744,6.3768391609191895,3.6259195804595947,2.3243312506948164,2.147652285478447,1.2144719221396372e-05,7.003759384155273,111.56790003335118,0.3064516484737396,1.7918741106987,6.531896114349365,0.23627042770385742,6.295625686645508,6.768166542053223,13.06379222869873,6.295625686645508,6.531896114349365,3.446506534303938,1.488081086162412,1.6912639141082764,6.3768391609191895,24.125545740127563,2.1443495750427246,3.35392427444458,1.0,9.0,1.0,1.0,1.0,0.0,0.31922840588123264,1.0,3.7224383693924517,5.81360969543457,3.8586972476320045,1.2352352142333984,13.3925199508667,58.1360969543457,5.047661781311035,5.286245346069336,9.34575929540269,6.669063582478711,-3.6713309288024902,33.44007110595703,439.2506868839264,9.968660354614258,8.312355995178223,2.279292583465576,1.0440573692321777,1.2352352142333984,3.323349952697754,4.558585166931152,3.323349952697754,2.279292583465576,6.1127937861851285,3.7102530937091815,1.2777338027954102,13.3925199508667,42.7895565032959,5.708714485168457,5.524828910827637,9.0,1.0,0.0,0.0,0.0,0.0,0.07841230157764136,0.24814971080051912,1.0
9,The kettle is boiling.,kettle,water,6.215764468168384,7.058665717002278,2.41265211739741,20.32655698041757,31.07882234084192,2.5079371253362606,2.8192269118873026,5.436317411286678,7.072123299539911,1.5399479805611302e-06,32.10598098763026,222.8890138627538,2.265418520096174,2.8192269118873026,3.0124492058033763,0.0,3.0124492058033763,3.0124492058033763,3.0124492058033763,3.0124492058033763,3.0124492058033763,8.519478669900762,8.35051493178259,2.41265211739741,20.32655698041757,25.558436009702284,2.8192269118873026,2.8192269118873026,0.0,4.0,0.0,0.0,1.0,0.0,0.09692932289279818,0.1482026301210551,1.2486048792865267,10.531192549864244,6.805935092421893,6.221508991576538,24.059353767181562,52.65596274932122,6.490855717827403,7.562417521833712,8.918577008591164,8.990165260411533,0.05268087390724808,39.22287147073757,365.6616573522377,7.424676148712662,7.424676148712662,8.321826750902005,0.0,8.321826750902005,8.321826750902005,8.321826750902005,8.321826750902005,8.321826750902005,12.61442676019727,8.111279166199289,6.221508991576538,24.059353767181562,37.84328028059181,7.562417521833712,7.562417521833712,0.0,4.0,0.0,0.0,1.0,0.0,0.15804148887220337,0.3458873763373266,1.3375897651468704,3.9420575380325316,1.6809924811405121,1.8641451597213745,6.76817512512207,19.71028769016266,1.8641451597213745,3.7840700149536133,1.9363711323464108,1.8959279659736787,1.2145002074248623e-05,7.003759384155273,79.39121642620285,0.9767042994499207,1.3375662565231323,6.76817512512207,0.0,6.76817512512207,6.76817512512207,6.76817512512207,6.76817512512207,6.76817512512207,3.6926558017730713,0.7387860452822704,2.7455942630767822,4.548303127288818,11.077967405319214,3.7840700149536133,3.7840700149536133,1.0,2.0,1.0,1.0,1.0,0.0,0.34338286845503757,1.0,3.6307124956586962,7.4278288841247555,4.0058799484780145,2.668768882751465,13.80552864074707,37.13914442062378,4.108129978179932,6.7876434326171875,10.662823402881623,6.919577408440106,-1.0183486938476562,33.44007110595703,426.5129361152649,14.745342254638672,9.15096378326416,6.7876434326171875,0.0,6.7876434326171875,6.7876434326171875,6.7876434326171875,6.7876434326171875,6.7876434326171875,8.747790336608887,4.603557966816024,2.668768882751465,13.80552864074707,26.24337100982666,9.769073486328125,9.769073486328125,4.0,0.0,0.0,0.0,1.0,0.0,0.18276251482109895,0.49166124740659567,2.5433612766120155
