Index,Sentence,Target Word (Noun),log_prob,oddballness,confidence,Document URL
0,The 76mm cannon also had the benefit of using the same shells as the 3-inch field gun which facilitated supply.,gun,-3.5015036253115306,0.45730212330818176,0.40503981709480286,https://en.wikipedia.org/wiki/Garford-Putilov%20Armoured%20Car
1,"Laonikos Chalkokondyles (1430–1470) was a Byzantine Greek historian from Athens whose Proofs of Histories encompasses the last 150 years of the Byzantine empire, covering 1298–1463. (",historian,-2.957065239783422,0.31442132592201233,0.4439232349395752,https://en.wikipedia.org/wiki/List%20of%20sources%20for%20the%20Crusades
2,"In 1949, NHSN became the official bird-ringing organization for the Farne Islands, and this work continues today.",organization,-3.6956025947750146,0.3718014359474182,0.4313645660877228,https://en.wikipedia.org/wiki/Natural%20History%20Society%20of%20Northumbria
3,Tallarico was the first composer to commercially release album compilations of video game music around the world.,composer,-3.6466157627763183,0.3223898708820343,0.4153943955898285,https://en.wikipedia.org/wiki/Tommy%20Tallarico
4,"it is eaten on new year's day because Koreans believe that if you eat a bowl of tteok-guk on the first of the lunar year, you get one year older.",bowl,-3.1699235219181188,0.3549346625804901,0.5168353915214539,https://en.wikipedia.org/wiki/Korean%20cuisine
5,The flight crew started the engines at 8:04 pm.,engines,-3.2736193580286845,0.397727370262146,0.3740382492542267,https://en.wikipedia.org/wiki/TWA%20Flight%20800
6,"There is a variety of such food and drink competitions worldwide, where the taste and quality of products are assessed.",taste,-3.581852806647393,0.32586032152175903,0.3382788598537445,https://en.wikipedia.org/wiki/Food%20competition
7,"There is one shallow man-made lake that often dries up in the summer or all year, especially during times of drought.",lake,-3.482316392660141,0.4014837145805359,0.46206891536712646,https://en.wikipedia.org/wiki/Cordes%20Lakes%2C%20Arizona
8,He is a violinist and composer who hears music in unusual sources such as the ambient noises of a train in the London Underground or the chirping of crickets.,violinist,-3.0441760354142664,0.3147144019603729,0.4411073327064514,https://en.wikipedia.org/wiki/One%20Perfect%20Day%20%282004%20film%29
9,"Like the Parliaments' previous single, Poor Willie/Party Boys, this record highly sought after by P-Funk collectors.",record,-5.236911441557682,0.447940856218338,0.37554121017456055,https://en.wikipedia.org/wiki/Lonely%20Island%20%28The%20Parliaments%20song%29
10,"Richard Leveridge (or Leueridge) (19 July 1670 – 22 March 1758) was an English bass singer of the London stage and a composer of baroque music, including many popular songs.",composer,-2.7574202619394854,0.2666034400463104,0.44491758942604065,https://en.wikipedia.org/wiki/Richard%20Leveridge
11,"One such was a mug depicting the tea party scene from the book, with a Cheshire Cat that disappeared when the mug was filled with a hot beverage.",mug,-3.7762166622184936,0.3735491633415222,0.3165046274662018,https://en.wikipedia.org/wiki/Applixware
12,"According to Phil Wright (then lead singer, now lead singer of Phil Wright's Original 70s Paper Lace) the band initially questioned appearing.",band,-5.31783728984883,0.5133801698684692,0.4063740372657776,https://en.wikipedia.org/wiki/Paper%20Lace
13,Mishnah Yomit – MishnahYomit.com hosts a weekly publication complementing the learning of people studying the regular program.,publication,-5.4296654450893405,0.43592673540115356,0.3178902268409729,https://en.wikipedia.org/wiki/Mishnah
14,"During their courtship, the couple visited Longue Vue, an old inn that overlooked the Hudson River.",inn,-3.656918085047177,0.40097346901893616,0.42157039046287537,https://en.wikipedia.org/wiki/Edith%20Rosenwald%20Stern
15,A Burgundy historian Jean de Wavrin criticized him more bitterly than other Burgundians.,historian,-4.59585574151654,0.42892828583717346,0.3717917799949646,https://en.wikipedia.org/wiki/Richard%20Neville%2C%2016th%20Earl%20of%20Warwick
16,Revising speciesWilliston was also the first scientist to critically evaluate all of the pteranodon species classified by Cope and Marsh.,scientist,-4.599524278065254,0.3717440366744995,0.32282230257987976,https://en.wikipedia.org/wiki/Pteranodon
17,"This deeper ""rock""-sounding voice on Once—as well as on the song ""In the Picture"" of the album Into the Light—was welcomed by critics as a refreshing change.",voice,-4.437752503297619,0.3630443513393402,0.393151193857193,https://en.wikipedia.org/wiki/Tarja%20Turunen
18,"Mark Kaplan (born 30 December 1953, in Cambridge, Massachusetts) is an American violinist who studied at the Juilliard School under Dorothy DeLay.",violinist,-2.0556659601463347,0.20581288635730743,0.5942906141281128,https://en.wikipedia.org/wiki/Mark%20Kaplan%20%28musician%29
19,"Sri Lanka's most recently discovered bird, the Serendib scops owl was originally heard calling by Deepal Warakagoda in these forests.",owl,-4.262784693576395,0.38040485978126526,0.3842352330684662,https://en.wikipedia.org/wiki/Kitulgala
20,He secured a needle in the supraclavicular fossa and attached tubing connected to a syringe through which he could inject incremental doses of local anesthetic.,syringe,-3.309585505819996,0.2810012102127075,0.4916061460971832,https://en.wikipedia.org/wiki/Brachial%20plexus%20block
21,The brain employs a computing paradigm that is fundamentally different from digital computers.,brain,-3.7937937527894974,0.36828020215034485,0.3108997344970703,https://en.wikipedia.org/wiki/Kwabena%20Boahen
22,"The charango's ten strings require quite a large headstock, often approaching or even exceeding the size of its diminutive sound box.",strings,-4.235408184704958,0.5042604207992554,0.4429444372653961,https://en.wikipedia.org/wiki/Charango
23,The founding editor of the business newspaper Vedomosti interpreted the appointment of someone with such views as a sign that Russian President Vladimir Putin was becoming more ideological.,editor,-3.614409676016939,0.36595237255096436,0.4351576268672943,https://en.wikipedia.org/wiki/Telegony%20%28theory%29
24,A pitcher filled with 8000 pearls has been found here.,pitcher,-3.7409679373105367,0.3938879072666168,0.3358895778656006,https://en.wikipedia.org/wiki/Baror
25,"Tun demanded 1,800,000 strings of cash in compensation and the Tang agreed to pay this amount in gold and silk.",strings,-4.065214308248445,0.40045541524887085,0.47043871879577637,https://en.wikipedia.org/wiki/Uyghur%20Khaganate
26,A U.S. mechanical engineer or skilled worker who creates technical drawings may be referred to as a drafter or draftsman.,worker,-3.0563778130337598,0.3029891848564148,0.47751498222351074,https://en.wikipedia.org/wiki/Mechanical%20engineering
27,The antelope masks are rough rectangular boxes with several horns coming out of the top.,horns,-4.337282215847688,0.39013904333114624,0.3481784760951996,https://en.wikipedia.org/wiki/Mask
28,Often web shells detect the user-agent and the content presented to the search engine spider is different from that presented to the user's browser.,shells,-3.943765797548824,0.34664005041122437,0.38867780566215515,https://en.wikipedia.org/wiki/Web%20shell
29,"Prissy floral-shirt-wearing product designer Charles Coote (Charles Hawtrey) has included a bidet in his latest range of designs, but W.C. objects to the manufacture of such ""dubious"" items.",designer,-4.476325794973451,0.37594711780548096,0.36934754252433777,https://en.wikipedia.org/wiki/Carry%20On%20at%20Your%20Convenience
30,"For example, in California, the East Bay Municipal Utility District sponsored the publication of a book on plants and landscapes for summer-dry climates.",publication,-3.9803109439505664,0.3633182644844055,0.37614428997039795,https://en.wikipedia.org/wiki/Cactus
31,"Rosenberg argued that despite not having been born in Armenia, Khachaturian was ""essentially an Armenian composer whose music exhibits his Armenian roots"".",composer,-3.367415726608356,0.31191009283065796,0.4598773419857025,https://en.wikipedia.org/wiki/Aram%20Khachaturian
32,Pongal - a boiled rice dish which comes in sweet and spicy varieties.,dish,-4.16243804525584,0.42879414558410645,0.3951408565044403,https://en.wikipedia.org/wiki/Malaysian%20cuisine
33,"His life ended prematurely, when a leaking gas pipe caused him to asphyxiate during his sleep.",pipe,-3.09064715820603,0.36933350563049316,0.49955496191978455,https://en.wikipedia.org/wiki/Fred%20Yates%20%28chess%20player%29
34,"Furthermore, the organization created and controlled negative media meant to undermine black power organizations.",media,-5.288826666073874,0.43482261896133423,0.32486796379089355,https://en.wikipedia.org/wiki/COINTELPRO
35,"American rock band 311 also quote the lyrics in their song ""Who's Got the Herb"".",band,-4.128484611399472,0.3375636637210846,0.3517260253429413,https://en.wikipedia.org/wiki/Sleng%20Teng
36,There are also different ways to insert the needle into the stitch.,needle,-3.388183585726298,0.34299415349960327,0.37310418486595154,https://en.wikipedia.org/wiki/Knitting
37,Leopold's sister Clara was a pianist who studied with Clara Schumann and with Franz Liszt.,pianist,-2.362401281886956,0.21970833837985992,0.516782283782959,https://en.wikipedia.org/wiki/Leopold%20Graf%20von%20Kalckreuth
38,"On September 28, 2016, Warner endorsed Democratic presidential candidate Hillary Clinton over Donald Trump, praising Clinton's record of bipartisan cooperation.",record,-2.766879145799565,0.25053927302360535,0.48934683203697205,https://en.wikipedia.org/wiki/John%20Warner
39,"It read: ""The architecture reminds one of a quaint Tuscan beet farm, and the natural aroma of the beets drifts into the bedrooms and makes you dream of simpler times.",aroma,-4.227394346797499,0.40386343002319336,0.43329697847366333,https://en.wikipedia.org/wiki/Dwight%20Schrute
40,"In 1926, the American designer Elizabeth Hawes, while working in Paris, regularly wore Callot Soeurs.",designer,-3.5692190923369846,0.3034585416316986,0.37320682406425476,https://en.wikipedia.org/wiki/Callot%20Soeurs
41,The wailing saxophone and that distorted electric guitar.,saxophone,-3.719873795455152,0.3490184247493744,0.414261132478714,https://en.wikipedia.org/wiki/Ike%20Turner
42,NegativeIce sheets that form during glaciations erode the land beneath them.,land,-4.926906067272649,0.421728253364563,0.35942867398262024,https://en.wikipedia.org/wiki/Ice%20age
43,"Interpretations In the long sojourn of philosophy, there has existed hardly a philosopher or historian of philosophy who did not mention Thales and try to characterize him in some way.",philosopher,-3.5369219263601632,0.32239213585853577,0.4301547408103943,https://en.wikipedia.org/wiki/Thales%20of%20Miletus
44,"When they finished a song, apart from the low hum of conversation, the band would hear Jesperson's loud whistle and fast clapping. """,band,-4.784498329820304,0.44012534618377686,0.3468359708786011,https://en.wikipedia.org/wiki/The%20Replacements%20%28band%29
45,"Passive noise isolation is essentially using the body of the earphone, either over or in the ear, as a passive earplug that simply blocks out sound.",earplug,-3.5486672321154225,0.36664506793022156,0.369238018989563,https://en.wikipedia.org/wiki/Headphones
46,It gathers scientist from all over the country to discuss relevant issues related to science and technology and thus earning the distinction of the most prestigious Philippine scientific conference.,scientist,-3.5516888216137885,0.34419503808021545,0.38901016116142273,https://en.wikipedia.org/wiki/National%20Academy%20of%20Science%20and%20Technology
47,Pulakeshin II continued his conquests in the east where he conquered all kingdoms in his way and reached the Bay of Bengal in present-day Odisha.,east,-3.5643964596843767,0.33579954504966736,0.38127800822257996,https://en.wikipedia.org/wiki/Middle%20kingdoms%20of%20India
48,Puneet goes on a drinking spree that leads him to a park bench where he witnesses someone being shot.,bench,-3.8383215605503036,0.3627801239490509,0.4073960483074188,https://en.wikipedia.org/wiki/Waisa%20Bhi%20Hota%20Hai%20Part%20II
49,"On 25 November 1897 the novelist published Mr. Scheurer-Kestner in Le Figaro, which was the first article in a series of three.",novelist,-3.6826584618570957,0.35034114122390747,0.36299043893814087,https://en.wikipedia.org/wiki/Dreyfus%20affair
50,The figure shows an example of a program composed of three sub-ETs.,program,-3.8635637387633324,0.38296955823898315,0.3736109137535095,https://en.wikipedia.org/wiki/Gene%20expression%20programming
51,"Al-Khwarizmi was the most widely read mathematician in Europe in the late Middle Ages, primarily through his other book, the Algebra.",mathematician,-2.622633913353396,0.3051501512527466,0.5145595073699951,https://en.wikipedia.org/wiki/Algorism
52,Most who succeeded him as Blue Book director exhibited either apathy or outright hostility to the subject of UFOs or were hampered by a lack of funding and official support.,director,-4.073660653426915,0.3821006119251251,0.3978751599788666,https://en.wikipedia.org/wiki/Project%20Blue%20Book
53,"Throughout, Wilder uses metatheatrical devices, setting the play in the actual theatre where it is being performed.",theatre,-3.2106420617395393,0.2978852391242981,0.45584189891815186,https://en.wikipedia.org/wiki/Our%20Town
54,"Los Angeles Times considered the game a ""great improvement"" over the previous Nicklaus games, praising the course designer and stating that the screen reanimates faster than in the Links games.",designer,-4.903146504751734,0.3973582684993744,0.3454948663711548,https://en.wikipedia.org/wiki/Jack%20Nicklaus%20Golf%20%26%20Course%20Design%3A%20Signature%20Edition
