base_expression,choices,cont_tokens,example,full_prompt,gold,gold_index,input_tokens,instruction,metrics,num_asked_few_shots,num_effective_few_shots,padded,pred_logits,prediction_logits,predictions,sentence_cleaned,specifics,truncated,log_prob,oddballness,confidence
143,['New vehicle' 'New tire' 'New toy' 'none'],"[array([  3564,   7310, 151645, 151645, 151645])
 array([  3564,  27287, 151645, 151645, 151645])
 array([  3564,  21357, 151645, 151645, 151645])
 array([  6697, 151645, 151645, 151645, 151645])]","The following are multiple choice questions.

Context: I got myself a new set of wheels  Question: What does "" the wheels"" stand for ? 
Your options are:['New vehicle', 'New tire', 'New toy', 'none']","The following are multiple choice questions.

Context: I got myself a new set of wheels  Question: What does "" the wheels"" stand for ? 
Your options are:['New vehicle', 'New tire', 'New toy', 'none']",[],[0],"[array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,    358,   2684,   7037,    264,    501,    738,    315,
         22696,    220,  15846,     25,   3555,   1558,    330,    279,
         22696,      1,   2498,    369,    937,    715,   7771,   2606,
           525,  69287,   3564,   7310,    516,    364,   3564,  27287,
           516,    364,   3564,  21357,    516,    364,   6697,    660,
          3564, 151645, 151645, 151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,    358,   2684,   7037,    264,    501,    738,    315,
         22696,    220,  15846,     25,   3555,   1558,    330,    279,
         22696,      1,   2498,    369,    937,    715,   7771,   2606,
           525,  69287,   3564,   7310,    516,    364,   3564,  27287,
           516,    364,   3564,  21357,    516,    364,   6697,    660,
          3564, 151645, 151645, 151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,    358,   2684,   7037,    264,    501,    738,    315,
         22696,    220,  15846,     25,   3555,   1558,    330,    279,
         22696,      1,   2498,    369,    937,    715,   7771,   2606,
           525,  69287,   3564,   7310,    516,    364,   3564,  27287,
           516,    364,   3564,  21357,    516,    364,   6697,    660,
          3564, 151645, 151645, 151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,    358,   2684,   7037,    264,    501,    738,    315,
         22696,    220,  15846,     25,   3555,   1558,    330,    279,
         22696,      1,   2498,    369,    937,    715,   7771,   2606,
           525,  69287,   3564,   7310,    516,    364,   3564,  27287,
           516,    364,   3564,  21357,    516,    364,   6697,    660,
        151645, 151645, 151645, 151645])                               ]",The following are multiple choice questions.,"{'acc': 0, 'acc_norm': 1}",0,0,[3 3 3 4],[],[],"[array([-24.75,   0.  ]) array([-30.25,   0.  ]) array([-30.5,   0. ])
 array([-24.,   0.])]","Context: I got myself a new set of wheels  Question: What does "" the wheels"" stand for ?",,[0 0 0 0],-3.987743249722934,0.3019237518310547,0.5388489365577698
367,"['Standing outside the the gate' 'Waiting outside the gate'
 'parked the vehicle outside the gate' 'none']","[array([ 93642,   4889,    279,    279,  18126, 151645, 151645, 151645,
        151645, 151645, 151645, 151645])
 array([ 42104,   4889,    279,  18126, 151645, 151645, 151645])
 array([ 28736,    291,    279,   7310,   4889,    279,  18126, 151645,
        151645, 151645, 151645, 151645])
 array([  6697, 151645, 151645, 151645, 151645, 151645, 151645])]","The following are multiple choice questions.

Context: I am parked outside the gate  Question: What does the given sentence mean ? 
Your options are:['Standing outside the the gate', 'Waiting outside the gate', 'parked the vehicle outside the gate', 'none']","The following are multiple choice questions.

Context: I am parked outside the gate  Question: What does the given sentence mean ? 
Your options are:['Standing outside the the gate', 'Waiting outside the gate', 'parked the vehicle outside the gate', 'none']",[],[2],"[array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,    358,   1079,  42235,   4889,    279,  18126,    220,
         15846,     25,   3555,   1558,    279,   2661,  11652,   3076,
           937,    715,   7771,   2606,    525,  69287,  93642,   4889,
           279,    279,  18126,    516,    364,  42104,   4889,    279,
         18126,    516,    364,  28736,    291,    279,   7310,   4889,
           279,  18126,    516,    364,   6697,    660,  93642,   4889,
           279,    279, 151645, 151645, 151645, 151645, 151645, 151645,
        151645, 151645, 151645, 151645, 151645, 151645, 151645, 151645,
        151645, 151645, 151645, 151645, 151645, 151645, 151645, 151645,
        151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,    358,   1079,  42235,   4889,    279,  18126,    220,
         15846,     25,   3555,   1558,    279,   2661,  11652,   3076,
           937,    715,   7771,   2606,    525,  69287,  93642,   4889,
           279,    279,  18126,    516,    364,  42104,   4889,    279,
         18126,    516,    364,  28736,    291,    279,   7310,   4889,
           279,  18126,    516,    364,   6697,    660,  42104,   4889,
           279, 151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,    358,   1079,  42235,   4889,    279,  18126,    220,
         15846,     25,   3555,   1558,    279,   2661,  11652,   3076,
           937,    715,   7771,   2606,    525,  69287,  93642,   4889,
           279,    279,  18126,    516,    364,  42104,   4889,    279,
         18126,    516,    364,  28736,    291,    279,   7310,   4889,
           279,  18126,    516,    364,   6697,    660,  28736,    291,
           279,   7310,   4889,    279, 151645, 151645, 151645, 151645,
        151645, 151645, 151645, 151645, 151645, 151645, 151645, 151645,
        151645, 151645, 151645, 151645, 151645, 151645, 151645, 151645,
        151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,    358,   1079,  42235,   4889,    279,  18126,    220,
         15846,     25,   3555,   1558,    279,   2661,  11652,   3076,
           937,    715,   7771,   2606,    525,  69287,  93642,   4889,
           279,    279,  18126,    516,    364,  42104,   4889,    279,
         18126,    516,    364,  28736,    291,    279,   7310,   4889,
           279,  18126,    516,    364,   6697,    660, 151645, 151645,
        151645, 151645])                                               ]",The following are multiple choice questions.,"{'acc': 1, 'acc_norm': 1}",0,0,[23  1 21  4],[],[],"[array([-20.125,   0.   ]) array([-19.875,   0.   ])
 array([-18.375,   0.   ]) array([-20.625,   0.   ])]",Context: I am parked outside the gate  Question: What does the given sentence mean ?,,[0 0 0 0],-5.199112978599527,0.5127931237220764,0.4729371964931488
344,"[""The British Prime Minister's residence"" 'A numerical value'
 'A residential address' 'The tenth floor of a building']","[array([   785,   7855,  12518,   9486,    594,  21682, 151645, 151645,
        151645, 151645, 151645, 151645])
 array([    32,  34776,    897, 151645, 151645, 151645, 151645, 151645,
        151645, 151645, 151645, 151645])
 array([    32,  20057,   2621, 151645, 151645, 151645, 151645, 151645,
        151645, 151645, 151645, 151645])
 array([   785,  55666,   6422,    315,    264,   4752, 151645, 151645,
        151645, 151645, 151645, 151645])                               ]","The following are multiple choice questions.

Context: Number 10 announced a new policy today. Question: What does ""Number 10"" mean:? 
Your options are:[""The British Prime Minister's residence"", 'A numerical value', 'A residential address', 'The tenth floor of a building']","The following are multiple choice questions.

Context: Number 10 announced a new policy today. Question: What does ""Number 10"" mean:? 
Your options are:[""The British Prime Minister's residence"", 'A numerical value', 'A residential address', 'The tenth floor of a building']",[],[0],"[array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,   5624,    220,     16,     15,   7228,    264,    501,
          4842,   3351,     13,  15846,     25,   3555,   1558,    330,
          2833,    220,     16,     15,      1,   3076,  76475,    715,
          7771,   2606,    525,  81262,    785,   7855,  12518,   9486,
           594,  21682,    497,    364,     32,  34776,    897,    516,
           364,     32,  20057,   2621,    516,    364,    785,  55666,
          6422,    315,    264,   4752,    660,    785,   7855,  12518,
          9486,    594, 151645, 151645, 151645, 151645, 151645, 151645,
        151645, 151645, 151645, 151645, 151645, 151645, 151645, 151645,
        151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,   5624,    220,     16,     15,   7228,    264,    501,
          4842,   3351,     13,  15846,     25,   3555,   1558,    330,
          2833,    220,     16,     15,      1,   3076,  76475,    715,
          7771,   2606,    525,  81262,    785,   7855,  12518,   9486,
           594,  21682,    497,    364,     32,  34776,    897,    516,
           364,     32,  20057,   2621,    516,    364,    785,  55666,
          6422,    315,    264,   4752,    660,     32,  34776, 151645,
        151645, 151645, 151645, 151645, 151645, 151645, 151645, 151645,
        151645, 151645, 151645, 151645, 151645, 151645, 151645, 151645,
        151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,   5624,    220,     16,     15,   7228,    264,    501,
          4842,   3351,     13,  15846,     25,   3555,   1558,    330,
          2833,    220,     16,     15,      1,   3076,  76475,    715,
          7771,   2606,    525,  81262,    785,   7855,  12518,   9486,
           594,  21682,    497,    364,     32,  34776,    897,    516,
           364,     32,  20057,   2621,    516,    364,    785,  55666,
          6422,    315,    264,   4752,    660,     32,  20057, 151645,
        151645, 151645, 151645, 151645, 151645, 151645, 151645, 151645,
        151645, 151645, 151645, 151645, 151645, 151645, 151645, 151645,
        151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,   5624,    220,     16,     15,   7228,    264,    501,
          4842,   3351,     13,  15846,     25,   3555,   1558,    330,
          2833,    220,     16,     15,      1,   3076,  76475,    715,
          7771,   2606,    525,  81262,    785,   7855,  12518,   9486,
           594,  21682,    497,    364,     32,  34776,    897,    516,
           364,     32,  20057,   2621,    516,    364,    785,  55666,
          6422,    315,    264,   4752,    660,    785,  55666,   6422,
           315,    264, 151645, 151645, 151645, 151645, 151645, 151645,
        151645, 151645, 151645, 151645, 151645, 151645, 151645, 151645,
        151645])                                                       ]",The following are multiple choice questions.,"{'acc': 1, 'acc_norm': 1}",0,0,[15 18 18 15],[],[],"[array([-14.9375,   0.    ]) array([-22.125,   0.   ])
 array([-28.125,   0.   ]) array([-26.75,   0.  ])]","Context: Number 10 announced a new policy today. Question: What does ""Number 10"" mean:?",,[0 0 0 0],-2.766884989364608,0.2473408281803131,0.5391421914100647
154,['Baby bed' 'Rocking chair' 'Infancy' 'Beginning'],"[array([ 59760,   4845, 151645, 151645, 151645])
 array([ 35052,    287,  10496, 151645, 151645])
 array([ 19433,   6572, 151645, 151645, 151645])
 array([ 75290, 151645, 151645, 151645, 151645])]","The following are multiple choice questions.

Context: From the cradle  to the grave . Question: What does ""cradle"" mean:? 
Your options are:['Baby bed', 'Rocking chair', 'Infancy', 'Beginning']","The following are multiple choice questions.

Context: From the cradle  to the grave . Question: What does ""cradle"" mean:? 
Your options are:['Baby bed', 'Rocking chair', 'Infancy', 'Beginning']",[],[2],"[array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,   5542,    279,   1560,  71355,    220,    311,    279,
         24190,    659,  15846,     25,   3555,   1558,    330,   5082,
         71355,      1,   3076,  76475,    715,   7771,   2606,    525,
         69287,  59760,   4845,    516,    364,  35052,    287,  10496,
           516,    364,  19433,   6572,    516,    364,  75290,    660,
         59760, 151645, 151645, 151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,   5542,    279,   1560,  71355,    220,    311,    279,
         24190,    659,  15846,     25,   3555,   1558,    330,   5082,
         71355,      1,   3076,  76475,    715,   7771,   2606,    525,
         69287,  59760,   4845,    516,    364,  35052,    287,  10496,
           516,    364,  19433,   6572,    516,    364,  75290,    660,
         35052,    287, 151645, 151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,   5542,    279,   1560,  71355,    220,    311,    279,
         24190,    659,  15846,     25,   3555,   1558,    330,   5082,
         71355,      1,   3076,  76475,    715,   7771,   2606,    525,
         69287,  59760,   4845,    516,    364,  35052,    287,  10496,
           516,    364,  19433,   6572,    516,    364,  75290,    660,
         19433, 151645, 151645, 151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,   5542,    279,   1560,  71355,    220,    311,    279,
         24190,    659,  15846,     25,   3555,   1558,    330,   5082,
         71355,      1,   3076,  76475,    715,   7771,   2606,    525,
         69287,  59760,   4845,    516,    364,  35052,    287,  10496,
           516,    364,  19433,   6572,    516,    364,  75290,    660,
        151645, 151645, 151645, 151645])                               ]",The following are multiple choice questions.,"{'acc': 0, 'acc_norm': 0}",0,0,[3 2 3 4],[],[],"[array([-22.75,   0.  ]) array([-20.125,   0.   ])
 array([-19.125,   0.   ]) array([-18.875,   0.   ])]","Context: From the cradle  to the grave . Question: What does ""cradle"" mean:?",,[0 0 0 0],-3.325505460164186,0.35851144790649414,0.651759147644043
401,['work done easily' 'morning' 'wakes up early' 'Evening'],"[array([  1778,   2814,   6707, 151645, 151645])
 array([ 56802,   1229, 151645, 151645, 151645])
 array([    86,   2050,    705,   4124, 151645, 151645, 151645])
 array([ 13159,    287, 151645, 151645, 151645])]","The following are multiple choice questions.

Context: She is an early bird  Question: what does""early bird"" refer to ? 
Your options are:['work done easily', 'morning', 'wakes up early', 'Evening']","The following are multiple choice questions.

Context: She is an early bird  Question: what does""early bird"" refer to ? 
Your options are:['work done easily', 'morning', 'wakes up early', 'Evening']",[],[2],"[array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,   2932,    374,    458,   4124,  11958,    220,  15846,
            25,   1128,   1558,      1,  22140,  11958,      1,   8300,
           311,    937,    715,   7771,   2606,    525,  69287,   1778,
          2814,   6707,    516,    364,  56802,   1229,    516,    364,
            86,   2050,    705,   4124,    516,    364,  13159,    287,
           660,   1778,   2814, 151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,   2932,    374,    458,   4124,  11958,    220,  15846,
            25,   1128,   1558,      1,  22140,  11958,      1,   8300,
           311,    937,    715,   7771,   2606,    525,  69287,   1778,
          2814,   6707,    516,    364,  56802,   1229,    516,    364,
            86,   2050,    705,   4124,    516,    364,  13159,    287,
           660,  56802, 151645, 151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,   2932,    374,    458,   4124,  11958,    220,  15846,
            25,   1128,   1558,      1,  22140,  11958,      1,   8300,
           311,    937,    715,   7771,   2606,    525,  69287,   1778,
          2814,   6707,    516,    364,  56802,   1229,    516,    364,
            86,   2050,    705,   4124,    516,    364,  13159,    287,
           660,     86,   2050,    705, 151645, 151645, 151645, 151645,
        151645, 151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,   2932,    374,    458,   4124,  11958,    220,  15846,
            25,   1128,   1558,      1,  22140,  11958,      1,   8300,
           311,    937,    715,   7771,   2606,    525,  69287,   1778,
          2814,   6707,    516,    364,  56802,   1229,    516,    364,
            86,   2050,    705,   4124,    516,    364,  13159,    287,
           660,  13159, 151645, 151645])                               ]",The following are multiple choice questions.,"{'acc': 1, 'acc_norm': 1}",0,0,[1 2 6 2],[],[],"[array([-21.375,   0.   ]) array([-19.375,   0.   ])
 array([-15.375,   0.   ]) array([-22.625,   0.   ])]","Context: She is an early bird  Question: what does""early bird"" refer to ?",,[0 0 0 0],-4.079832815884503,0.4056815803050995,0.5266759991645813
336,"['Racing Car' 'any vehicle' 'Tire' ""Person's nickname""]","[array([    49,   4527,   3261, 151645, 151645, 151645, 151645])
 array([  3767,   7310, 151645, 151645, 151645, 151645, 151645])
 array([    51,    554, 151645, 151645, 151645, 151645, 151645])
 array([ 10680,    594,  29399, 151645, 151645, 151645, 151645])]","The following are multiple choice questions.

Context: Wheels is really good when it comes to driving  Question: What does"" wheels"" refer to? 
Your options are:['Racing Car', 'any vehicle', 'Tire', ""Person's nickname""]","The following are multiple choice questions.

Context: Wheels is really good when it comes to driving  Question: What does"" wheels"" refer to? 
Your options are:['Racing Car', 'any vehicle', 'Tire', ""Person's nickname""]",[],[3],"[array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,  51449,    374,   2167,   1661,    979,    432,   4041,
           311,   9842,    220,  15846,     25,   3555,   1558,      1,
         22696,      1,   8300,    311,     30,    715,   7771,   2606,
           525,  69287,     49,   4527,   3261,    516,    364,   3767,
          7310,    516,    364,     51,    554,    516,    330,  10680,
           594,  29399,   1341,     49,   4527, 151645, 151645, 151645,
        151645, 151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,  51449,    374,   2167,   1661,    979,    432,   4041,
           311,   9842,    220,  15846,     25,   3555,   1558,      1,
         22696,      1,   8300,    311,     30,    715,   7771,   2606,
           525,  69287,     49,   4527,   3261,    516,    364,   3767,
          7310,    516,    364,     51,    554,    516,    330,  10680,
           594,  29399,   1341,   3767, 151645, 151645, 151645, 151645,
        151645, 151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,  51449,    374,   2167,   1661,    979,    432,   4041,
           311,   9842,    220,  15846,     25,   3555,   1558,      1,
         22696,      1,   8300,    311,     30,    715,   7771,   2606,
           525,  69287,     49,   4527,   3261,    516,    364,   3767,
          7310,    516,    364,     51,    554,    516,    330,  10680,
           594,  29399,   1341,     51, 151645, 151645, 151645, 151645,
        151645, 151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,  51449,    374,   2167,   1661,    979,    432,   4041,
           311,   9842,    220,  15846,     25,   3555,   1558,      1,
         22696,      1,   8300,    311,     30,    715,   7771,   2606,
           525,  69287,     49,   4527,   3261,    516,    364,   3767,
          7310,    516,    364,     51,    554,    516,    330,  10680,
           594,  29399,   1341,  10680,    594, 151645, 151645, 151645,
        151645, 151645])                                               ]",The following are multiple choice questions.,"{'acc': 1, 'acc_norm': 1}",0,0,[5 6 6 5],[],[],"[array([-25.75,   0.  ]) array([-18.125,   0.   ])
 array([-18.625,   0.   ]) array([-17.,   0.])]","Context: Wheels is really good when it comes to driving  Question: What does"" wheels"" refer to?",,[0 0 0 0],-4.539749030633608,0.35457074642181396,0.5613102912902832
41,['Emoji' 'Satisfaction' 'expression' 'none'],"[array([ 92731, 151645, 151645, 151645])
 array([    50,  51270, 151645, 151645])
 array([ 28099, 151645, 151645, 151645])
 array([  6697, 151645, 151645, 151645])]","The following are multiple choice questions.

Context: I'd give it a thumbs up Question: What does "" thumbs up"" refer to? 
Your options are:['Emoji', 'Satisfaction', 'expression', 'none']","The following are multiple choice questions.

Context: I'd give it a thumbs up Question: What does "" thumbs up"" refer to? 
Your options are:['Emoji', 'Satisfaction', 'expression', 'none']",[],[1],"[array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,    358,   4172,   2968,    432,    264,  56849,    705,
         15846,     25,   3555,   1558,    330,  56849,    705,      1,
          8300,    311,     30,    715,   7771,   2606,    525,  69287,
         92731,    516,    364,     50,  51270,    516,    364,  28099,
           516,    364,   6697,    660, 151645, 151645, 151645, 151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,    358,   4172,   2968,    432,    264,  56849,    705,
         15846,     25,   3555,   1558,    330,  56849,    705,      1,
          8300,    311,     30,    715,   7771,   2606,    525,  69287,
         92731,    516,    364,     50,  51270,    516,    364,  28099,
           516,    364,   6697,    660,     50, 151645, 151645, 151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,    358,   4172,   2968,    432,    264,  56849,    705,
         15846,     25,   3555,   1558,    330,  56849,    705,      1,
          8300,    311,     30,    715,   7771,   2606,    525,  69287,
         92731,    516,    364,     50,  51270,    516,    364,  28099,
           516,    364,   6697,    660, 151645, 151645, 151645, 151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,    358,   4172,   2968,    432,    264,  56849,    705,
         15846,     25,   3555,   1558,    330,  56849,    705,      1,
          8300,    311,     30,    715,   7771,   2606,    525,  69287,
         92731,    516,    364,     50,  51270,    516,    364,  28099,
           516,    364,   6697,    660, 151645, 151645, 151645, 151645])]",The following are multiple choice questions.,"{'acc': 0, 'acc_norm': 1}",0,0,[4 3 4 4],[],[],"[array([-25.,   0.]) array([-23.875,   0.   ]) array([-21.625,   0.   ])
 array([-22.75,   0.  ])]","Context: I'd give it a thumbs up Question: What does "" thumbs up"" refer to?",,[0 0 0 0],-3.8782818552051475,0.4237655997276306,0.6045716404914856
446,['vegetable' 'blush' 'redness/ tanning' 'sweat'],"[array([ 82471,    480, 151645, 151645, 151645, 151645, 151645])
 array([  2024,   1116, 151645, 151645, 151645, 151645, 151645])
 array([  1151,   2090,     14,    259,   5947, 151645, 151645])
 array([    82,    896,    266, 151645, 151645, 151645, 151645])]","The following are multiple choice questions.

Context: She looked like a tomato in the sun Question: What does "" like a tomato"" refer to? 
Your options are:['vegetable', 'blush', 'redness/ tanning', 'sweat']","The following are multiple choice questions.

Context: She looked like a tomato in the sun Question: What does "" like a tomato"" refer to? 
Your options are:['vegetable', 'blush', 'redness/ tanning', 'sweat']",[],[2],"[array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,   2932,   6966,   1075,    264,  41020,    304,    279,
          7015,  15846,     25,   3555,   1558,    330,   1075,    264,
         41020,      1,   8300,    311,     30,    715,   7771,   2606,
           525,  69287,  82471,    480,    516,    364,   2024,   1116,
           516,    364,   1151,   2090,     14,    259,   5947,    516,
           364,     82,    896,    266,    660,  82471, 151645, 151645,
        151645, 151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,   2932,   6966,   1075,    264,  41020,    304,    279,
          7015,  15846,     25,   3555,   1558,    330,   1075,    264,
         41020,      1,   8300,    311,     30,    715,   7771,   2606,
           525,  69287,  82471,    480,    516,    364,   2024,   1116,
           516,    364,   1151,   2090,     14,    259,   5947,    516,
           364,     82,    896,    266,    660,   2024, 151645, 151645,
        151645, 151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,   2932,   6966,   1075,    264,  41020,    304,    279,
          7015,  15846,     25,   3555,   1558,    330,   1075,    264,
         41020,      1,   8300,    311,     30,    715,   7771,   2606,
           525,  69287,  82471,    480,    516,    364,   2024,   1116,
           516,    364,   1151,   2090,     14,    259,   5947,    516,
           364,     82,    896,    266,    660,   1151,   2090,     14,
           259, 151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,   2932,   6966,   1075,    264,  41020,    304,    279,
          7015,  15846,     25,   3555,   1558,    330,   1075,    264,
         41020,      1,   8300,    311,     30,    715,   7771,   2606,
           525,  69287,  82471,    480,    516,    364,   2024,   1116,
           516,    364,   1151,   2090,     14,    259,   5947,    516,
           364,     82,    896,    266,    660,     82,    896, 151645,
        151645, 151645])                                               ]",The following are multiple choice questions.,"{'acc': 0, 'acc_norm': 1}",0,0,[4 4 1 3],[],[],"[array([-13.25,   0.  ]) array([-13.8125,   0.    ]) array([-15.,   0.])
 array([-22.875,   0.   ])]","Context: She looked like a tomato in the sun Question: What does "" like a tomato"" refer to?",,[0 0 0 0],-4.21267469803847,0.3621855676174164,0.5181362628936768
269,['Money' 'Love' 'passion' 'home'],"[array([ 24786, 151645, 151645, 151645])
 array([ 28251, 151645, 151645, 151645])
 array([  6385,    290, 151645, 151645])
 array([  5117, 151645, 151645, 151645])]","The following are multiple choice questions.

Context: Liya offered her heart to him Question: What does "" heart"" refer to:? 
Your options are:['Money', 'Love', 'passion', 'home']","The following are multiple choice questions.

Context: Liya offered her heart to him Question: What does "" heart"" refer to:? 
Your options are:['Money', 'Love', 'passion', 'home']",[],[1],"[array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,  14511,   7755,   8900,   1059,   4746,    311,   1435,
         15846,     25,   3555,   1558,    330,   4746,      1,   8300,
           311,  76475,    715,   7771,   2606,    525,  69287,  24786,
           516,    364,  28251,    516,    364,   6385,    290,    516,
           364,   5117,    660, 151645, 151645, 151645, 151645, 151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,  14511,   7755,   8900,   1059,   4746,    311,   1435,
         15846,     25,   3555,   1558,    330,   4746,      1,   8300,
           311,  76475,    715,   7771,   2606,    525,  69287,  24786,
           516,    364,  28251,    516,    364,   6385,    290,    516,
           364,   5117,    660, 151645, 151645, 151645, 151645, 151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,  14511,   7755,   8900,   1059,   4746,    311,   1435,
         15846,     25,   3555,   1558,    330,   4746,      1,   8300,
           311,  76475,    715,   7771,   2606,    525,  69287,  24786,
           516,    364,  28251,    516,    364,   6385,    290,    516,
           364,   5117,    660,   6385, 151645, 151645, 151645, 151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,  14511,   7755,   8900,   1059,   4746,    311,   1435,
         15846,     25,   3555,   1558,    330,   4746,      1,   8300,
           311,  76475,    715,   7771,   2606,    525,  69287,  24786,
           516,    364,  28251,    516,    364,   6385,    290,    516,
           364,   5117,    660, 151645, 151645, 151645, 151645, 151645])]",The following are multiple choice questions.,"{'acc': 1, 'acc_norm': 0}",0,0,[5 5 4 5],[],[],"[array([-19.25,   0.  ]) array([-17.5,   0. ]) array([-22.5,   0. ])
 array([-20.5,   0. ])]","Context: Liya offered her heart to him Question: What does "" heart"" refer to:?",,[0 0 0 0],-5.103913501409504,0.4483521282672882,0.5124589204788208
361,['A hitman' 'A kind of firearm' 'Conflict resolution expert.' 'None'],"[array([    32,   4201,   1515, 151645, 151645, 151645, 151645])
 array([    32,   3093,    315,  35605, 151645, 151645, 151645])
 array([ 57974,  10935,   6203,     13, 151645, 151645, 151645])
 array([  4064, 151645, 151645, 151645, 151645])]","The following are multiple choice questions.

Context: He sent a hired gun after them all. Question: What does ""gun"" mean:? 
Your options are:['A hitman', 'A kind of firearm', 'Conflict resolution expert.', 'None']","The following are multiple choice questions.

Context: He sent a hired gun after them all. Question: What does ""gun"" mean:? 
Your options are:['A hitman', 'A kind of firearm', 'Conflict resolution expert.', 'None']",[],[0],"[array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,   1260,   3208,    264,  21446,   6038,   1283,   1105,
           678,     13,  15846,     25,   3555,   1558,    330,  13259,
             1,   3076,  76475,    715,   7771,   2606,    525,  69287,
            32,   4201,   1515,    516,    364,     32,   3093,    315,
         35605,    516,    364,  57974,  10935,   6203,  15670,    364,
          4064,    660,     32,   4201, 151645, 151645, 151645, 151645,
        151645, 151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,   1260,   3208,    264,  21446,   6038,   1283,   1105,
           678,     13,  15846,     25,   3555,   1558,    330,  13259,
             1,   3076,  76475,    715,   7771,   2606,    525,  69287,
            32,   4201,   1515,    516,    364,     32,   3093,    315,
         35605,    516,    364,  57974,  10935,   6203,  15670,    364,
          4064,    660,     32,   3093,    315, 151645, 151645, 151645,
        151645, 151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,   1260,   3208,    264,  21446,   6038,   1283,   1105,
           678,     13,  15846,     25,   3555,   1558,    330,  13259,
             1,   3076,  76475,    715,   7771,   2606,    525,  69287,
            32,   4201,   1515,    516,    364,     32,   3093,    315,
         35605,    516,    364,  57974,  10935,   6203,  15670,    364,
          4064,    660,  57974,  10935,   6203, 151645, 151645, 151645,
        151645, 151645])
 array([   785,   2701,    525,   5248,   5754,   4755,    382,   1972,
            25,   1260,   3208,    264,  21446,   6038,   1283,   1105,
           678,     13,  15846,     25,   3555,   1558,    330,  13259,
             1,   3076,  76475,    715,   7771,   2606,    525,  69287,
            32,   4201,   1515,    516,    364,     32,   3093,    315,
         35605,    516,    364,  57974,  10935,   6203,  15670,    364,
          4064,    660, 151645, 151645])                               ]",The following are multiple choice questions.,"{'acc': 1, 'acc_norm': 0}",0,0,[6 5 5 2],[],[],"[array([-19.,   0.]) array([-31.,   0.]) array([-22.125,   0.   ])
 array([-23.,   0.])]","Context: He sent a hired gun after them all. Question: What does ""gun"" mean:?",,[0 0 0 0],-3.690109559860215,0.37401479482650757,0.49659809470176697
