id,sentence,referenced_term,correct_answer,surprisal_sentence_mean,surprisal_sentence_std,surprisal_sentence_min,surprisal_sentence_max,surprisal_sentence_sum,surprisal_sentence_middle,surprisal_sentence_median,surprisal_query_mean,surprisal_query_std,surprisal_query_min,surprisal_query_max,surprisal_query_sum,surprisal_query_middle,surprisal_query_median,surprisal_phrase_mean,surprisal_phrase_std,surprisal_phrase_min,surprisal_phrase_max,surprisal_phrase_sum,surprisal_phrase_middle,surprisal_phrase_median,surprisal_context_mean,surprisal_context_std,surprisal_context_min,surprisal_context_max,surprisal_context_sum,surprisal_context_middle,surprisal_context_median,surprisal_position_sentenceMax,surprisal_position_sentenceMin,surprisal_positional_sentenceMax_in_expression,surprisal_positional_sentenceMin_in_expression,surprisal_drops_within_expression,surprisal_spikes_within_expression,surprisal_relational_sumPhrase_sumSentence,surprisal_relational_maxPhrase_maxSentence,surprisal_relational_minPhrase_minSentence,cws_sentence_mean,cws_sentence_std,cws_sentence_min,cws_sentence_max,cws_sentence_sum,cws_sentence_middle,cws_sentence_median,cws_query_mean,cws_query_std,cws_query_min,cws_query_max,cws_query_sum,cws_query_middle,cws_query_median,cws_phrase_mean,cws_phrase_std,cws_phrase_min,cws_phrase_max,cws_phrase_sum,cws_phrase_middle,cws_phrase_median,cws_context_mean,cws_context_std,cws_context_min,cws_context_max,cws_context_sum,cws_context_middle,cws_context_median,cws_position_sentenceMax,cws_position_sentenceMin,cws_positional_sentenceMax_in_expression,cws_positional_sentenceMin_in_expression,cws_drops_within_expression,cws_spikes_within_expression,cws_relational_sumPhrase_sumSentence,cws_relational_maxPhrase_maxSentence,cws_relational_minPhrase_minSentence,vanilla_entropy_sentence_mean,vanilla_entropy_sentence_std,vanilla_entropy_sentence_min,vanilla_entropy_sentence_max,vanilla_entropy_sentence_sum,vanilla_entropy_sentence_middle,vanilla_entropy_sentence_median,vanilla_entropy_query_mean,vanilla_entropy_query_std,vanilla_entropy_query_min,vanilla_entropy_query_max,vanilla_entropy_query_sum,vanilla_entropy_query_middle,vanilla_entropy_query_median,vanilla_entropy_phrase_mean,vanilla_entropy_phrase_std,vanilla_entropy_phrase_min,vanilla_entropy_phrase_max,vanilla_entropy_phrase_sum,vanilla_entropy_phrase_middle,vanilla_entropy_phrase_median,vanilla_entropy_context_mean,vanilla_entropy_context_std,vanilla_entropy_context_min,vanilla_entropy_context_max,vanilla_entropy_context_sum,vanilla_entropy_context_middle,vanilla_entropy_context_median,vanilla_entropy_position_sentenceMax,vanilla_entropy_position_sentenceMin,vanilla_entropy_positional_sentenceMax_in_expression,vanilla_entropy_positional_sentenceMin_in_expression,vanilla_entropy_drops_within_expression,vanilla_entropy_spikes_within_expression,vanilla_entropy_relational_sumPhrase_sumSentence,vanilla_entropy_relational_maxPhrase_maxSentence,vanilla_entropy_relational_minPhrase_minSentence,cis_sentence_mean,cis_sentence_std,cis_sentence_min,cis_sentence_max,cis_sentence_sum,cis_sentence_middle,cis_sentence_median,cis_query_mean,cis_query_std,cis_query_min,cis_query_max,cis_query_sum,cis_query_middle,cis_query_median,cis_phrase_mean,cis_phrase_std,cis_phrase_min,cis_phrase_max,cis_phrase_sum,cis_phrase_middle,cis_phrase_median,cis_context_mean,cis_context_std,cis_context_min,cis_context_max,cis_context_sum,cis_context_middle,cis_context_median,cis_position_sentenceMax,cis_position_sentenceMin,cis_positional_sentenceMax_in_expression,cis_positional_sentenceMin_in_expression,cis_drops_within_expression,cis_spikes_within_expression,cis_relational_sumPhrase_sumSentence,cis_relational_maxPhrase_maxSentence,cis_relational_minPhrase_minSentence
0,She is attracted to blue jacket.,blue jacket,Sailor,7.996763482470685,5.329311154596038,0.14877306183552874,16.228629991222377,55.9773443772948,10.618186007103283,9.01138777710693,5.8112108276506795,7.349991604785494,0.0003534353041765043,34.894295783458205,261.50448724428054,0.3411311533519173,1.5801373355154067,9.388923187036282,6.839706804186094,2.549216382850188,16.228629991222377,18.777846374072563,2.549216382850188,9.388923187036282,7.047027556528826,4.917673491643589,0.14877306183552874,12.638690806378474,28.188110226115302,0.14877306183552874,7.700323178950651,4.0,2.0,1.0,1.0,1.0,0.0,0.33545439825632606,1.0,17.134932570443375,12.075960693757867,6.483030028631474,0.6340736669469775,21.240594389711546,84.53172485630508,15.38169208149874,14.153917612125184,9.191042612761716,9.208906397784327,0.053318334458686056,41.75709019683839,413.59691757427726,1.5174009218731457,5.532893545329167,14.030257104801994,7.210337284909552,6.8199198198924424,21.240594389711546,28.060514209603987,6.8199198198924424,14.030257104801994,10.579323258643976,6.506029369225145,0.6340736669469775,17.281037578274486,42.317293034575904,0.6340736669469775,12.201090894677218,4.0,2.0,1.0,1.0,1.0,0.0,0.33195246231286385,1.0,10.755721575270428,4.076611323016031,1.6151690110364352,0.5190921425819397,5.639955997467041,28.536279261112213,0.5190921425819397,4.697778701782227,2.1711142683919107,1.9590812068561476,0.0028889416716992855,6.520535469055176,97.70014207763597,0.7279458045959473,1.6638994216918945,4.453723430633545,0.24405527114868164,4.209668159484863,4.697778701782227,8.90744686126709,4.209668159484863,4.453723430633545,4.087567821145058,2.0748782609960466,0.5190921425819397,5.639955997467041,16.35027128458023,4.946871757507324,5.095611572265625,0.0,3.0,0.0,0.0,1.0,0.0,0.31214464856340624,0.8329459846658457,8.109674206483215,5.338502832821438,2.49774277371428,1.7567297220230103,8.400863647460938,37.36951982975006,7.239222049713135,6.222645282745361,9.92609539898959,5.788334515966409,-2.854227066040039,24.405376434326172,436.748197555542,6.552789211273193,9.189081192016602,2.872052490711212,1.115322768688202,1.7567297220230103,3.987375259399414,5.744104981422424,1.7567297220230103,2.872052490711212,5.806137800216675,2.16584884044518,2.1586685180664062,7.604015350341797,23.2245512008667,6.222645282745361,6.730933666229248,6.0,5.0,0.0,0.0,1.0,0.0,0.1537109657172933,0.47463873081722396,1.0
1,His lovely voice caught my ear.,voice,Giving attention,7.1598024144497545,4.061379256334745,2.637127039821199,13.973278255692794,50.11861690114828,2.637127039821199,8.21822622174588,7.105040518031197,7.103325560693844,0.0011297918999290352,32.81367797540909,333.9369043474663,9.876760343952304,5.396835633223384,9.398521392403811,0.0,9.398521392403811,9.398521392403811,9.398521392403811,9.398521392403811,9.398521392403811,7.616593693784654,4.217910944427298,2.791240390226324,13.973278255692794,38.08296846892327,3.186656613156203,8.21822622174588,0.0,3.0,0.0,0.0,1.0,0.0,0.1875255538464087,0.6726067584444473,3.563924395936968,11.936364086257903,3.86752531723594,6.971598585878517,17.66730347651055,83.55454860380532,6.971598585878517,12.787766225502947,11.11663671177522,8.952822311094069,0.05460839361838679,39.646184538781085,522.4819254534353,16.47414328167603,10.747584748422849,14.374976588007083,0.0,14.374976588007083,14.374976588007083,14.374976588007083,14.374976588007083,14.374976588007083,12.441594685983944,3.8166018224143916,7.541818647223176,17.66730347651055,62.20797342991972,8.852028060818775,12.787766225502947,0.0,3.0,0.0,0.0,1.0,0.0,0.17204301654682633,0.8136485914287509,2.061934061597386,4.161234412874494,1.7316890191067191,1.3513143062591553,6.844849586486816,29.12864089012146,4.2599358558654785,4.2599358558654785,2.2580391789211873,1.9250108180521686,0.00879602786153555,6.844849586486816,106.1278414092958,1.0239894390106201,2.1226160526275635,5.0472588539123535,0.0,5.0472588539123535,5.0472588539123535,5.0472588539123535,5.0472588539123535,5.0472588539123535,3.9642892360687254,2.000125481761747,1.3513143062591553,6.844849586486816,19.821446180343628,3.29371976852417,3.29371976852417,1.0,5.0,0.0,0.0,1.0,0.0,0.17327478041119507,0.7373805355601549,3.735073942852485,6.657277856554304,3.0673136145189,-0.6903834342956543,8.482379913330078,46.60094499588013,8.47508716583252,7.965667247772217,8.967961513477823,5.796487234439705,-2.7988643646240234,21.15494155883789,412.52622961997986,5.811738967895508,8.240856647491455,8.00662612915039,0.0,8.00662612915039,8.00662612915039,8.00662612915039,8.00662612915039,8.00662612915039,6.0238463401794435,3.427172035172721,-0.6903834342956543,8.482379913330078,30.119231700897217,8.482379913330078,7.940584659576416,4.0,1.0,0.0,0.0,1.0,0.0,0.1718125271892713,0.9439127003222245,-11.597361308819558
2,A hotel worker coming out of the lift said a couple of rooms have complained about the heat to the receptionist.,couple of rooms,Customers,6.429937219424696,4.088873793907973,0.2686140616391804,13.089723187518963,147.888556046768,7.543960681136053,6.652257817425129,5.968758482755785,6.508140875441978,0.0005948531079920581,32.83808762796508,364.09426744810287,0.7566193666017094,4.232641618105832,5.684596800109301,1.34837488398662,4.388517929888883,7.543960681136053,17.0537904003279,7.543960681136053,5.1213117893029665,6.197107497837955,4.180347317512982,0.2686140616391804,12.743624263130963,117.74504245892113,6.515631082099272,6.652257817425129,13.0,4.0,0.0,0.0,0.0,1.0,0.11531514578406488,0.576326983624009,16.33763289646326,10.83451504278298,5.085844871316696,1.0095298005522408,18.717177262779725,249.19384598400856,12.30766535583124,10.980284751600353,9.69460717641214,8.363889338001638,0.0537503098821809,39.64834659675057,591.3710377611405,2.711375137276676,9.704428321681714,10.711185819419628,1.2587288751271273,9.231009551983558,12.30766535583124,32.133557458258885,12.30766535583124,10.594882550444087,10.439111119103682,5.256615306665328,1.0095298005522408,18.06118019495179,198.34311126296996,10.807692204507536,10.980284751600353,13.0,4.0,0.0,0.0,0.0,1.0,0.128950044217067,0.6575599078342759,9.143870291826888,3.5756000435870625,1.3856909553664298,1.0237033367156982,6.043338298797607,82.23880100250244,3.874241828918457,3.5588772296905518,2.285198485898617,1.8501651641390182,0.004870984237641096,6.043338298797607,139.39710763981566,1.9619097709655762,2.143960952758789,4.6667160987854,0.6622614194290106,3.874241828918457,5.495242118835449,14.000148296356201,3.874241828918457,4.630664348602295,3.4398904725124964,1.422434340070042,1.0237033367156982,6.043338298797607,65.35791897773743,2.5049993991851807,3.329385995864868,1.0,5.0,0.0,0.0,0.0,0.0,0.17023774818811124,0.9093057259311119,3.784535704795116,5.652641752491826,3.122651275580567,-0.034923553466796875,11.865694046020508,130.010760307312,7.367710113525391,5.744448661804199,9.016788957516352,6.020708733500345,-4.116823196411133,23.63002586364746,541.0073374509811,7.135233402252197,8.406326293945312,7.5573625564575195,1.5634253819703703,5.744448661804199,9.559928894042969,22.67208766937256,7.367710113525391,7.367710113525391,5.575476395456414,3.1447222062418914,-0.034923553466796875,11.865694046020508,105.93405151367188,10.290910720825195,5.299732208251953,20.0,1.0,0.0,0.0,1.0,0.0,0.17438624015259638,0.8056780207685498,-164.48637356635717
3,You just have to be thick-skinned to handle it.,thick-skinned,coldhearted,4.695885349306123,4.022740871269358,0.011211868115735416,14.247227558303539,56.350624191673475,0.011211868115735416,3.0541482146003585,4.677184193752408,6.440896569276302,0.0003397964886957882,34.004233374176394,247.89076226887764,0.34186318685858025,2.4058072746382475,1.3875910184870461,1.0492287270589518,0.011211868115735416,2.5558917353326134,4.162773055461138,0.011211868115735416,1.5956694520127894,5.85875291296684,4.28438082294627,1.357784285202199,14.247227558303539,46.87002330373472,14.247227558303539,4.856793499835899,4.0,6.0,0.0,0.0,0.0,0.0,0.07387270531914075,0.17939572628240882,1.0,8.63640229542113,5.038553451581046,0.08790593974829654,19.218413770213978,103.63682754505356,0.08790593974829654,7.177666728517114,8.07755154288167,8.179432098335681,0.053321178799732416,40.81608632525371,428.11023177272847,1.4988134186013509,6.891473994638474,4.019031281562596,2.917684347653906,0.08790593974829654,7.0704176439712505,12.05709384468779,0.08790593974829654,4.898770260968242,10.19627210285314,4.921815664483926,4.564840952539745,19.218413770213978,81.57017682282512,19.218413770213978,9.21127419727954,4.0,6.0,0.0,0.0,0.0,0.0,0.1163398584296327,0.3678980861016465,1.0,3.4323785776893296,1.4467244066747917,0.061340898275375366,5.639960765838623,41.18854293227196,2.9529240131378174,3.305272340774536,2.1366370996671185,1.9220890649109197,0.0027236277237534523,6.126178741455078,113.24176628235728,0.7722427845001221,1.4537359476089478,2.4349824090798697,1.7650363236042765,0.061340898275375366,4.290682315826416,7.304947227239609,2.9529240131378174,2.9529240131378174,3.885191857814789,1.1590978012814541,2.307021141052246,5.639960765838623,31.08153486251831,5.199527263641357,3.9854241609573364,0.0,7.0,0.0,0.0,1.0,0.0,0.17735386365211897,0.7607645680472072,1.0,8.943251808484396,5.323576527235656,-2.5739359855651855,17.704578399658203,107.31902170181274,12.018275260925293,8.482842922210693,11.071122713960134,6.036924333992383,-2.8149218559265137,22.42563247680664,575.698381125927,14.659971237182617,11.582501411437988,15.303682009379068,2.4042018463070876,12.018275260925293,17.704578399658203,45.91104602813721,12.018275260925293,16.18819236755371,5.950659215450287,3.64212659066867,-2.5739359855651855,9.523162841796875,47.605273723602295,3.913182258605957,7.180885314941406,5.0,1.0,1.0,1.0,0.0,0.0,0.4277997068935424,1.0,-4.669220729779073
4,She showed off her new diamond.,diamond,jewelery,6.500831098693691,3.9374253329439606,0.5509195105538685,10.794798715969744,45.505817690855835,2.2201242267184873,8.94284037509436,5.594961214678623,7.435283243289613,0.0001952358449609869,34.75037960372469,246.17829344585942,2.841543931934415,2.1069963973500077,10.451720568622532,0.0,10.451720568622532,10.451720568622532,10.451720568622532,10.451720568622532,10.451720568622532,5.214389581182882,3.9618708124630913,0.5509195105538685,10.794798715969744,26.07194790591441,0.5509195105538685,3.563265077577952,4.0,2.0,0.0,0.0,1.0,0.0,0.22967877732966774,0.968218198747915,18.971411192380653,10.514648616712778,5.125303219917807,1.9910937872965473,16.365086943066363,73.60254031698945,4.83757217673047,13.42319950600898,8.804976481829245,9.460672517731098,0.05296134650232741,41.577136714503595,387.41896520048675,8.219392545702572,5.575833768841976,16.365086943066363,0.0,16.365086943066363,16.365086943066363,16.365086943066363,16.365086943066363,16.365086943066363,8.650940539536302,4.90425799040507,1.9910937872965473,14.843460579555575,43.254702697681516,1.9910937872965473,8.15937664808994,5.0,2.0,1.0,1.0,1.0,0.0,0.22234405052577866,1.0,8.21914419475259,4.41889899117606,1.6581813857559402,1.7095756530761719,6.12850284576416,30.932292938232422,1.7095756530761719,5.244351387023926,1.7825604910586579,1.9575013779413721,0.0017380915815010667,6.12850284576416,78.43266160658095,1.5070078372955322,1.090134859085083,6.12850284576416,0.0,6.12850284576416,6.12850284576416,6.12850284576416,6.12850284576416,6.12850284576416,4.481365966796875,1.5631037305868765,1.7095756530761719,5.966599464416504,22.406829833984375,3.8463473320007324,5.244351387023926,5.0,3.0,1.0,1.0,1.0,0.0,0.19812636774137457,1.0,3.584809385145764,6.322540078844343,4.366443140392799,0.13134288787841797,12.758430480957031,44.2577805519104,5.134363174438477,5.134363174438477,11.331014165091654,5.708776149970564,-1.5123405456542969,27.271432876586914,487.2336090989411,10.869022369384766,10.946433067321777,3.5150604248046875,0.0,3.5150604248046875,3.5150604248046875,3.5150604248046875,3.5150604248046875,3.5150604248046875,5.596857929229737,4.037946995709182,0.13134288787841797,11.42479133605957,27.98428964614868,2.691434383392334,5.134363174438477,6.0,4.0,0.0,0.0,1.0,0.0,0.07942242880168465,0.27550884335273007,26.76247249914684
5,The clock is ticking; we need to hurry.,clock,passage of time,4.9460134462312455,3.693789972334803,0.05254059756981278,12.320723436466736,49.46013446231245,2.4502169824427957,3.516098901062353,5.291873606168403,6.749034324927455,0.00016244331573216612,34.61213807578569,254.00993309608336,0.8070644998735227,2.8978438963241446,2.8194084639659365,0.0,2.8194084639659365,2.8194084639659365,2.8194084639659365,2.8194084639659365,2.8194084639659365,5.552427557941476,3.897955506496795,0.05254059756981278,12.320723436466736,44.41942046353181,0.05254059756981278,4.686982294988669,0.0,6.0,0.0,0.0,1.0,0.0,0.0570036554614356,0.22883465232415523,53.66152260106438,8.998159270444292,4.460922037547686,0.20699986491748393,15.822247770552611,89.98159270444292,6.938659809289854,8.047861241905608,8.865260931453998,8.535032435865858,0.05295953531598136,41.39381094262855,425.5325247097919,3.102205644806896,7.2990653777385806,6.815508669791763,0.0,6.815508669791763,6.815508669791763,6.815508669791763,6.815508669791763,6.815508669791763,9.667973728532035,4.7507757318555415,0.20699986491748393,15.822247770552611,77.34378982825628,0.20699986491748393,9.494990812821513,0.0,6.0,0.0,0.0,1.0,0.0,0.07574336555897883,0.43075476813581226,32.925184142069945,3.6942817002534865,1.8176734791119917,0.30170896649360657,7.227968215942383,36.942817002534866,4.30154275894165,3.8896044492721558,2.0936505037971074,1.9678078295409611,0.0013557642232626677,7.227968215942383,100.49522418226115,1.5684845447540283,1.6210563778877258,7.227968215942383,0.0,7.227968215942383,7.227968215942383,7.227968215942383,7.227968215942383,7.227968215942383,3.1843528486788273,1.5072479917284418,0.30170896649360657,5.639955997467041,25.47482278943062,2.671630859375,3.2244192361831665,1.0,7.0,1.0,1.0,1.0,0.0,0.19565287117781052,1.0,23.956756406493966,8.177144813537598,1.8203598482964995,4.656538009643555,11.260345458984375,81.77144813537598,8.305126190185547,8.290935516357422,10.750946290949559,5.47430220882331,-2.1289615631103516,26.457176208496094,505.2944756746292,11.48723316192627,10.529680252075195,6.921935081481934,0.0,6.921935081481934,6.921935081481934,6.921935081481934,6.921935081481934,6.921935081481934,8.774121880531311,1.4281028974524619,6.331432342529297,11.260345458984375,70.19297504425049,11.260345458984375,8.547696113586426,6.0,2.0,0.0,0.0,1.0,0.0,0.08464977983540645,0.6147178260822431,1.4864981381332671
6,The canvas tells a story of passion and creativity.,canvas,work of art,6.76465737346059,5.5593518588821516,0.31058093367470435,18.137733568470416,67.64657373460591,10.379132838790326,5.87464533667308,5.12415944142972,7.1740905626359535,0.00021798492585379498,35.79206333233679,235.7113343057671,1.3168039746134195,1.7736332235847974,11.024170796720545,0.0,11.024170796720545,11.024170796720545,11.024170796720545,11.024170796720545,11.024170796720545,6.817229696029976,5.798653985502329,0.31058093367470435,18.137733568470416,54.53783756823981,1.4627010775240445,5.87464533667308,0.0,3.0,0.0,0.0,1.0,0.0,0.1629671716999455,0.6078031058899401,35.495323767256814,10.660648102037028,6.166709960062561,0.9855377499883196,21.64061429074011,106.60648102037028,14.936761411809172,10.707201409088952,8.366381314409711,8.953135239853752,0.05302029900971685,42.59360494015957,384.8535404628467,3.817574091444097,5.711665276376002,15.978081096811792,0.0,15.978081096811792,15.978081096811792,15.978081096811792,15.978081096811792,15.978081096811792,10.574281278349341,6.427906563780711,0.9855377499883196,21.64061429074011,84.59425022679473,5.389180855988252,10.707201409088952,0.0,3.0,0.0,0.0,1.0,0.0,0.14987907811870005,0.7383376868210584,16.212551063621014,3.861518955230713,1.916791811792337,1.2548400163650513,7.227967262268066,38.61518955230713,2.693181037902832,3.661382555961609,2.047284579534671,2.0603015190764933,0.0018882221775129437,7.227967262268066,94.17509065859485,3.5607588291168213,1.330722689628601,7.227967262268066,0.0,7.227967262268066,7.227967262268066,7.227967262268066,7.227967262268066,7.227967262268066,3.3835060000419617,1.7091852885874201,1.2548400163650513,5.6645121574401855,27.068048000335693,5.107913017272949,2.8483859300613403,1.0,7.0,1.0,1.0,1.0,0.0,0.18717938060299433,1.0,5.76007074049617,7.687290954589844,2.250272989092518,2.5090255737304688,11.360588073730469,76.87290954589844,9.267156600952148,8.049580335617065,11.57310054567125,5.432558010284952,-2.5558414459228516,27.931575775146484,520.7895245552063,12.436324119567871,10.088244438171387,7.533451080322266,0.0,7.533451080322266,7.533451080322266,7.533451080322266,7.533451080322266,7.533451080322266,7.876238822937012,2.4618220366455033,2.5090255737304688,11.360588073730469,63.009910583496094,8.482721328735352,8.520932674407959,8.0,0.0,0.0,0.0,1.0,0.0,0.0979987764847677,0.6631215771076286,3.0025405716058056
7,He sold his car for a song.,song,Pittance,5.905848101754642,4.007496585430671,2.4738309439157553,13.54952078428917,47.246784814037134,3.3567635115156973,3.3501690415463887,6.0370272720354246,7.267046406407799,0.001093599811122451,34.26649173894296,289.7773090577004,0.5775692843653053,3.27152062516548,2.4738309439157553,0.0,2.4738309439157553,2.4738309439157553,2.4738309439157553,2.4738309439157553,2.4738309439157553,6.093262427282355,4.304378473314343,2.5192208888710614,13.54952078428917,36.55957456369413,3.2578779407846152,3.3501690415463887,5.0,6.0,0.0,0.0,1.0,0.0,0.052359773340190846,0.18257700647126884,1.0,10.526363378001275,4.277775184244205,6.456878551093185,18.773250358767392,84.2109070240102,9.017208886124727,8.520159298627684,9.752855064847356,9.011720863900708,0.05475345834601577,41.10049549944879,468.1370431126731,2.3641978569812325,8.26109539907225,6.761936027984076,0.0,6.761936027984076,6.761936027984076,6.761936027984076,6.761936027984076,6.761936027984076,10.70401506566602,4.5598357974961905,6.456878551093185,18.773250358767392,64.22409039399612,8.02310971113064,8.520159298627684,5.0,1.0,0.0,0.0,1.0,0.0,0.08029762731395487,0.36018994573447155,1.0472453484260198,4.013090655207634,1.3441183422371548,1.5337544679641724,5.639955997467041,32.10472524166107,3.2263364791870117,3.8395429849624634,2.1587578335699313,1.9457877448673044,0.008741602301597595,6.933177471160889,103.62037601135671,1.1931812763214111,1.5239471197128296,3.785144329071045,0.0,3.785144329071045,3.785144329071045,3.785144329071045,3.785144329071045,3.785144329071045,4.20088408390681,1.4934193503397102,1.5337544679641724,5.639955997467041,25.205304503440857,5.502711772918701,4.651272892951965,0.0,5.0,0.0,0.0,1.0,0.0,0.1178999135042965,0.6711301171092452,2.467894573826574,6.822602599859238,2.0837029231753714,2.6569435596466064,9.563542366027832,54.5808207988739,2.6569435596466064,7.366371154785156,10.149206184326335,5.622725362049491,-3.1587467193603516,21.918075561523438,477.0126906633377,2.2712748050689697,9.94935417175293,9.563542366027832,0.0,9.563542366027832,9.563542366027832,9.563542366027832,9.563542366027832,9.563542366027832,6.11342982451121,1.9110096215923869,2.6569435596466064,8.48242473602295,36.68057894706726,7.282936096191406,6.4988062381744385,6.0,4.0,1.0,1.0,1.0,0.0,0.17521800196572246,1.0,3.5994525857748574
8,The new blood in the IT department shows enthusiasm.,new blood,New Employee,8.942745689518919,5.3869389212860925,1.1036582318430115,17.633602826802296,89.4274568951892,3.2232780073639997,8.484440409991624,6.409486695806664,7.5336464234655365,0.0004944716117987418,36.088388690557764,307.65536139871983,0.6227142852482056,3.3662038705765767,10.208852856071829,2.393181191510219,7.81567166456161,12.602034047582048,20.417705712143658,7.81567166456161,10.208852856071829,9.70087042160036,5.47795397592716,3.2232780073639997,17.633602826802296,67.90609295120252,9.668155607203541,9.153209155421637,4.0,3.0,0.0,0.0,1.0,0.0,0.22831584863330762,0.7146601957274162,7.081605010556693,13.094937275881215,5.756452815772618,3.2704650651676648,22.262407286840016,130.94937275881213,6.773392949581494,13.34292344846079,9.999366295896753,9.234877490951657,0.0535459432714476,42.9741739052169,479.9695822030442,2.6321215573589427,7.8004195118493085,14.331468493917047,1.8417804589644504,12.489688034952596,16.173248952881497,28.662936987834094,12.489688034952596,14.331468493917047,14.145138672258627,5.571412308100932,6.773392949581494,22.262407286840016,99.01597070581039,14.559125366129383,14.196158861968982,7.0,3.0,0.0,0.0,1.0,0.0,0.21888563789172671,0.7264824843287273,3.8189333278544884,5.1105403184890745,1.5051465741370802,2.2179508209228516,7.227968215942383,51.10540318489075,6.228082656860352,5.221877574920654,2.5695569821594595,2.2367870342120786,0.004095614887773991,7.227968215942383,123.33873514365405,1.0392863750457764,2.1551311016082764,7.158522367477417,0.06944584846496582,7.089076519012451,7.227968215942383,14.317044734954834,7.089076519012451,7.158522367477417,4.56647447177342,1.3148516541212536,2.2179508209228516,6.228082656860352,31.96532130241394,5.620718002319336,4.498426914215088,1.0,9.0,1.0,1.0,1.0,0.0,0.28014737860805394,1.0,3.1962280011523463,4.7622169017791744,3.0375070250924807,0.32822322845458984,10.353813171386719,47.62216901779175,7.087853908538818,4.995514392852783,9.486699507591572,6.435960473530125,-4.028772354125977,29.337894439697266,445.8748768568039,10.059861183166504,8.597990036010742,1.6895859241485596,1.3613626956939697,0.32822322845458984,3.0509486198425293,3.379171848297119,3.0509486198425293,1.6895859241485596,4.841311999729702,2.341123331195923,0.3501605987548828,7.824979305267334,33.88918399810791,4.726685523986816,5.26434326171875,3.0,1.0,0.0,0.0,0.0,0.0,0.07095795756456731,0.2946690817518302,1.0
9,The kettle is boiling.,kettle,water,7.148009365461703,5.650557673617525,1.999164014306745,17.180675225885913,35.74004682730851,3.8220811093131477,3.8220811093131477,5.588454808483326,7.430346588402774,0.0003013976233872342,34.55005941771544,229.12664714781639,0.8456429047541236,3.190722123150567,1.999164014306745,0.0,1.999164014306745,1.999164014306745,1.999164014306745,1.999164014306745,1.999164014306745,9.97293390122954,5.719295032341041,3.190722123150567,17.180675225885913,29.918801703688622,3.190722123150567,9.54740435465214,0.0,1.0,0.0,0.0,1.0,0.0,0.0559362449625894,0.11636120164210013,1.0,11.39994173817709,5.512832097667279,5.499007730433737,20.68353289066273,56.99970869088544,8.08609381965789,8.205905306861037,9.042826922773283,9.23846242844615,0.05317001899847258,41.3410284234836,370.7559038337046,3.4135674924507677,7.147330978785803,5.499007730433737,0.0,5.499007730433737,5.499007730433737,5.499007730433737,5.499007730433737,5.499007730433737,14.47153571359794,5.094111301133627,8.205905306861037,20.68353289066273,43.41460714079382,8.205905306861037,14.525168943270051,0.0,1.0,0.0,0.0,1.0,0.0,0.09647431288211229,0.2658640455430214,1.0,4.786150074005127,1.5757475082985004,2.656057596206665,7.227967739105225,23.930750370025635,3.699937582015991,4.706831455230713,2.111568864525818,2.0297164319512553,0.0025720447301864624,7.227967739105225,86.57432344555855,1.2359859943389893,1.6562451124191284,7.227967739105225,0.0,7.227967739105225,7.227967739105225,7.227967739105225,7.227967739105225,7.227967739105225,4.33428168296814,1.2463299233805707,2.656057596206665,5.639955997467041,13.002845048904419,4.706831455230713,4.706831455230713,1.0,4.0,1.0,1.0,1.0,0.0,0.3020368198800229,1.0,2.7213143831775644,6.079001235961914,2.0313343247823195,3.79178524017334,9.32291316986084,30.39500617980957,4.693656921386719,5.096198558807373,10.438188630342484,6.2332753439140385,-2.8035242557525635,24.988445281982422,417.52754521369934,12.282699584960938,9.90345287322998,7.490452289581299,0.0,7.490452289581299,7.490452289581299,7.490452289581299,7.490452289581299,7.490452289581299,6.070298989613851,2.3607905145826766,3.79178524017334,9.32291316986084,18.210896968841553,9.32291316986084,5.096198558807373,3.0,0.0,0.0,0.0,1.0,0.0,0.2464369391889437,0.8034454631409065,1.9754421242588296
